Name:B X_Dim:150 Y_Dim:5 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13          14          15          16          17          18         19          20          21          22          23          24          25          26          27          28          29          30          31          32         33         34            35            36            37            38            39            40            41            42            43
  -360.0         X  1.134160e-26  9.968430e-27  8.761520e-27  7.700740e-27  6.768390e-27    0.026823    0.022821    0.019576    0.016897    0.014649    0.012740    0.011105    0.009698    0.008480    0.007423    0.006503    0.005700    0.004999    0.004386   0.003850   -0.024498   -0.023263   -0.022671   -0.021732   -0.020509   -0.019074   -0.017365   -0.015385   -0.013194   -0.010821   -0.008391   -0.006040   -0.003935  -0.002246  -0.001073 -4.016140e-04 -1.088940e-04 -1.928480e-05 -1.935350e-06 -9.128290e-08 -1.689210e-09 -3.821340e-15 -1.744970e-24 -2.265710e-29
  -358.0         X  1.150360e-26  1.011080e-26  8.886650e-27  7.810720e-27  6.865060e-27    0.027207    0.023147    0.019856    0.017139    0.014858    0.012922    0.011264    0.009836    0.008601    0.007529    0.006596    0.005782    0.005071    0.004449   0.003905   -0.024848   -0.023596   -0.022995   -0.022043   -0.020802   -0.019347   -0.017613   -0.015605   -0.013382   -0.010976   -0.008511   -0.006126   -0.003991  -0.002279  -0.001088 -4.073530e-04 -1.104500e-04 -1.956040e-05 -1.963010e-06 -9.258740e-08 -1.713350e-09 -3.875930e-15 -1.769880e-24 -2.298040e-29
  -356.0         X  1.166860e-26  1.025590e-26  9.014150e-27  7.922780e-27  6.963550e-27    0.027597    0.023479    0.020141    0.017385    0.015071    0.013107    0.011426    0.009978    0.008725    0.007637    0.006690    0.005865    0.005144    0.004513   0.003961   -0.025205   -0.023935   -0.023325   -0.022359   -0.021101   -0.019624   -0.017866   -0.015828   -0.013574   -0.011133   -0.008633   -0.006214   -0.004049  -0.002311  -0.001104 -4.132010e-04 -1.120360e-04 -1.984120e-05 -1.991190e-06 -9.391660e-08 -1.737950e-09 -3.931560e-15 -1.795270e-24 -2.330990e-29
  -354.0         X  1.183680e-26  1.040370e-26  9.144070e-27  8.036970e-27  7.063910e-27    0.027995    0.023818    0.020431    0.017635    0.015289    0.013296    0.011591    0.010122    0.008851    0.007747    0.006787    0.005949    0.005218    0.004578   0.004018   -0.025568   -0.024280   -0.023662   -0.022682   -0.021405   -0.019907   -0.018124   -0.016057   -0.013770   -0.011294   -0.008758   -0.006304   -0.004107  -0.002345  -0.001120 -4.191600e-04 -1.136520e-04 -2.012740e-05 -2.019910e-06 -9.527100e-08 -1.763010e-09 -3.988240e-15 -1.821130e-24 -2.364560e-29
  -352.0         X  1.200820e-26  1.055430e-26  9.276460e-27  8.153330e-27  7.166180e-27    0.028401    0.024163    0.020727    0.017891    0.015510    0.013489    0.011758    0.010268    0.008979    0.007859    0.006885    0.006036    0.005293    0.004644   0.004076   -0.025939   -0.024632   -0.024004   -0.023010   -0.021715   -0.020196   -0.018386   -0.016289   -0.013969   -0.011458   -0.008885   -0.006395   -0.004167  -0.002379  -0.001136 -4.252330e-04 -1.152980e-04 -2.041900e-05 -2.049180e-06 -9.665130e-08 -1.788550e-09 -4.046010e-15 -1.847490e-24 -2.398770e-29
  -350.0         X  1.218280e-26  1.070780e-26  9.411380e-27  8.271920e-27  7.270420e-27    0.028814    0.024515    0.021029    0.018151    0.015736    0.013685    0.011930    0.010418    0.009109    0.007974    0.006985    0.006123    0.005371    0.004712   0.004136   -0.026316   -0.024990   -0.024354   -0.023345   -0.022031   -0.020490   -0.018654   -0.016526   -0.014173   -0.011624   -0.009014   -0.006488   -0.004227  -0.002413  -0.001153 -4.314220e-04 -1.169760e-04 -2.071620e-05 -2.079000e-06 -9.805800e-08 -1.814580e-09 -4.104880e-15 -1.874350e-24 -2.433640e-29
  -348.0         X  1.236080e-26  1.086430e-26  9.548900e-27  8.392790e-27  7.376650e-27    0.029235    0.024873    0.021336    0.018416    0.015966    0.013885    0.012104    0.010570    0.009243    0.008090    0.007088    0.006213    0.005449    0.004781   0.004196   -0.026701   -0.025355   -0.024710   -0.023686   -0.022353   -0.020789   -0.018927   -0.016768   -0.014380   -0.011794   -0.009146   -0.006583   -0.004289  -0.002449  -0.001170 -4.377300e-04 -1.186870e-04 -2.101910e-05 -2.109400e-06 -9.949180e-08 -1.841110e-09 -4.164880e-15 -1.901740e-24 -2.469170e-29
  -346.0         X  1.254230e-26  1.102380e-26  9.689080e-27  8.516000e-27  7.484940e-27    0.029665    0.025238    0.021650    0.018687    0.016200    0.014089    0.012282    0.010725    0.009378    0.008209    0.007192    0.006304    0.005529    0.004851   0.004258   -0.027093   -0.025728   -0.025073   -0.024034   -0.022682   -0.021095   -0.019205   -0.017014   -0.014591   -0.011967   -0.009280   -0.006680   -0.004352  -0.002484  -0.001187 -4.441600e-04 -1.204300e-04 -2.132790e-05 -2.140390e-06 -1.009530e-07 -1.868160e-09 -4.226040e-15 -1.929640e-24 -2.505390e-29
  -344.0         X  1.272730e-26  1.118630e-26  9.831980e-27  8.641590e-27  7.595330e-27    0.030102    0.025611    0.021969    0.018963    0.016439    0.014297    0.012463    0.010883    0.009517    0.008330    0.007298    0.006397    0.005611    0.004923   0.004320   -0.027493   -0.026107   -0.025443   -0.024389   -0.023016   -0.021406   -0.019488   -0.017265   -0.014807   -0.012144   -0.009417   -0.006779   -0.004416  -0.002521  -0.001204 -4.507140e-04 -1.222070e-04 -2.164260e-05 -2.171980e-06 -1.024430e-07 -1.895720e-09 -4.288390e-15 -1.958090e-24 -2.542320e-29
  -342.0         X  1.291590e-26  1.135210e-26  9.977660e-27  8.769640e-27  7.707870e-27    0.030549    0.025991    0.022295    0.019244    0.016683    0.014509    0.012648    0.011045    0.009658    0.008454    0.007406    0.006492    0.005694    0.004996   0.004385   -0.027901   -0.026495   -0.025820   -0.024750   -0.023357   -0.021723   -0.019777   -0.017521   -0.015026   -0.012324   -0.009557   -0.006879   -0.004482  -0.002559  -0.001222 -4.573970e-04 -1.240190e-04 -2.196350e-05 -2.204180e-06 -1.039620e-07 -1.923830e-09 -4.351960e-15 -1.987100e-24 -2.579960e-29
  -340.0         X  1.310810e-26  1.152110e-26  1.012620e-26  8.900190e-27  7.822620e-27    0.031004    0.026378    0.022627    0.019530    0.016932    0.014725    0.012836    0.011209    0.009802    0.008580    0.007516    0.006589    0.005779    0.005070   0.004450   -0.028316   -0.026889   -0.026204   -0.025119   -0.023705   -0.022047   -0.020072   -0.017782   -0.015250   -0.012508   -0.009699   -0.006981   -0.004549  -0.002597  -0.001240 -4.642110e-04 -1.258670e-04 -2.229070e-05 -2.237020e-06 -1.055110e-07 -1.952490e-09 -4.416770e-15 -2.016670e-24 -2.618340e-29
  -338.0         X  1.330420e-26  1.169340e-26  1.027770e-26  9.033310e-27  7.939620e-27    0.031468    0.026772    0.022966    0.019823    0.017185    0.014946    0.013028    0.011377    0.009948    0.008708    0.007629    0.006687    0.005865    0.005146   0.004516   -0.028740   -0.027292   -0.026597   -0.025495   -0.024060   -0.022377   -0.020372   -0.018048   -0.015478   -0.012695   -0.009844   -0.007086   -0.004617  -0.002635  -0.001259 -4.711580e-04 -1.277510e-04 -2.262430e-05 -2.270500e-06 -1.070900e-07 -1.981710e-09 -4.482850e-15 -2.046830e-24 -2.657470e-29
  -336.0         X  1.350410e-26  1.186910e-26  1.043210e-26  9.169060e-27  8.058930e-27    0.031941    0.027175    0.023311    0.020121    0.017444    0.015170    0.013224    0.011548    0.010098    0.008839    0.007744    0.006788    0.005953    0.005223   0.004584   -0.029172   -0.027702   -0.026997   -0.025878   -0.024422   -0.022713   -0.020678   -0.018320   -0.015711   -0.012886   -0.009992   -0.007193   -0.004686  -0.002675  -0.001278 -4.782430e-04 -1.296720e-04 -2.296460e-05 -2.304640e-06 -1.087000e-07 -2.011510e-09 -4.550240e-15 -2.077570e-24 -2.697380e-29
  -334.0         X  1.370800e-26  1.204840e-26  1.058960e-26  9.307500e-27  8.180610e-27    0.032423    0.027585    0.023663    0.020425    0.017707    0.015399    0.013424    0.011723    0.010251    0.008973    0.007860    0.006891    0.006043    0.005302   0.004654   -0.029613   -0.028120   -0.027404   -0.026269   -0.024791   -0.023056   -0.020991   -0.018597   -0.015948   -0.013080   -0.010143   -0.007301   -0.004757  -0.002716  -0.001297 -4.854690e-04 -1.316310e-04 -2.331150e-05 -2.339460e-06 -1.103430e-07 -2.041900e-09 -4.618970e-15 -2.108930e-24 -2.738070e-29
  -332.0         X  1.391600e-26  1.223110e-26  1.075030e-26  9.448700e-27  8.304720e-27    0.032916    0.028004    0.024022    0.020735    0.017976    0.015633    0.013628    0.011900    0.010406    0.009109    0.007980    0.006995    0.006135    0.005383   0.004724   -0.030062   -0.028547   -0.027820   -0.026668   -0.025167   -0.023406   -0.021309   -0.018879   -0.016190   -0.013279   -0.010297   -0.007412   -0.004829  -0.002757  -0.001317 -4.928390e-04 -1.336290e-04 -2.366550e-05 -2.374980e-06 -1.120180e-07 -2.072900e-09 -4.689070e-15 -2.140920e-24 -2.779580e-29
