Name:A X_Dim:15 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4          5          6         7         8         9        10        11        12        13        14        15            16            17            18            19        20        21        22        23        24        25        26        27        28        29        30        31            32            33            34            35            36            37            38            39            40            41            42            43
  -360.0         X  1.367240e-64  8.896780e-65  5.789230e-65  3.767120e-65  2.451320e-65   0.080118   0.049358  0.031321  0.020125  0.013003  0.008423  0.005462  0.003545  0.002301  0.001494  0.000970  6.299710e-04  4.091170e-04  2.657030e-04  1.725710e-04 -0.091337 -0.078171 -0.072438 -0.064016 -0.054130 -0.043906 -0.033446 -0.023439 -0.014795 -0.008053 -0.003617 -0.001255 -3.085520e-04 -4.824800e-05 -4.127810e-06 -1.558410e-07 -2.006370e-09 -6.246540e-12 -2.931830e-15 -1.112820e-19 -1.873250e-25 -2.930530e-44 -2.350830e-75 -1.294210e-91
  -358.0         X  1.383610e-64  9.003310e-65  5.858560e-65  3.812250e-65  2.480690e-65   0.081049   0.049932  0.031685  0.020359  0.013154  0.008520  0.005526  0.003586  0.002328  0.001511  0.000981  6.372750e-04  4.138600e-04  2.687830e-04  1.745700e-04 -0.092399 -0.079080 -0.073280 -0.064760 -0.054760 -0.044416 -0.033835 -0.023711 -0.014967 -0.008146 -0.003659 -0.001270 -3.121290e-04 -4.880690e-05 -4.175580e-06 -1.576440e-07 -2.029570e-09 -6.318770e-12 -2.965760e-15 -1.125730e-19 -1.895050e-25 -2.965190e-44 -2.379580e-75 -1.310330e-91
  -356.0         X  1.400240e-64  9.111550e-65  5.929010e-65  3.858090e-65  2.510530e-65   0.081995   0.050515  0.032054  0.020597  0.013307  0.008620  0.005590  0.003628  0.002355  0.001529  0.000993  6.446950e-04  4.186770e-04  2.719110e-04  1.766020e-04 -0.093477 -0.080003 -0.074135 -0.065516 -0.055399 -0.044935 -0.034230 -0.023988 -0.015142 -0.008241 -0.003701 -0.001284 -3.157620e-04 -4.937450e-05 -4.224110e-06 -1.594750e-07 -2.053130e-09 -6.392140e-12 -3.000220e-15 -1.138840e-19 -1.917200e-25 -3.000410e-44 -2.408800e-75 -1.326730e-91
  -354.0         X  1.417140e-64  9.221530e-65  6.000590e-65  3.904680e-65  2.540850e-65   0.082957   0.051107  0.032430  0.020838  0.013463  0.008721  0.005656  0.003670  0.002382  0.001547  0.001004  6.522310e-04  4.235700e-04  2.750880e-04  1.786650e-04 -0.094573 -0.080941 -0.075004 -0.066284 -0.056048 -0.045461 -0.034631 -0.024269 -0.015319 -0.008338 -0.003745 -0.001299 -3.194520e-04 -4.995110e-05 -4.273400e-06 -1.613350e-07 -2.077060e-09 -6.466650e-12 -3.035230e-15 -1.152150e-19 -1.939690e-25 -3.036180e-44 -2.438500e-75 -1.343400e-91
  -352.0         X  1.434310e-64  9.333300e-65  6.073330e-65  3.952030e-65  2.571660e-65   0.083933   0.051709  0.032812  0.021083  0.013621  0.008823  0.005722  0.003713  0.002410  0.001565  0.001016  6.598880e-04  4.285410e-04  2.783160e-04  1.807610e-04 -0.095686 -0.081893 -0.075887 -0.067064 -0.056708 -0.045996 -0.035038 -0.024554 -0.015499 -0.008436 -0.003789 -0.001315 -3.232000e-04 -5.053680e-05 -4.323470e-06 -1.632240e-07 -2.101370e-09 -6.542350e-12 -3.070790e-15 -1.165680e-19 -1.962550e-25 -3.072530e-44 -2.468690e-75 -1.360350e-91
  -350.0         X  1.451770e-64  9.446880e-65  6.147260e-65  4.000140e-65  2.602980e-65   0.084925   0.052320  0.033199  0.021332  0.013782  0.008927  0.005790  0.003757  0.002439  0.001583  0.001028  6.676660e-04  4.335920e-04  2.815950e-04  1.828900e-04 -0.096817 -0.082862 -0.076784 -0.067857 -0.057378 -0.046540 -0.035452 -0.024845 -0.015682 -0.008535 -0.003833 -0.001330 -3.270090e-04 -5.113180e-05 -4.374330e-06 -1.651430e-07 -2.126070e-09 -6.619240e-12 -3.106910e-15 -1.179410e-19 -1.985760e-25 -3.109470e-44 -2.499380e-75 -1.377580e-91
  -348.0         X  1.469500e-64  9.562320e-65  6.222390e-65  4.049050e-65  2.634810e-65   0.085933   0.052941  0.033593  0.021585  0.013946  0.009033  0.005858  0.003802  0.002468  0.001602  0.001040  6.755680e-04  4.387230e-04  2.849270e-04  1.850540e-04 -0.097966 -0.083845 -0.077696 -0.068662 -0.058059 -0.047092 -0.035873 -0.025139 -0.015868 -0.008637 -0.003879 -0.001346 -3.308780e-04 -5.173630e-05 -4.426010e-06 -1.670920e-07 -2.151160e-09 -6.697360e-12 -3.143600e-15 -1.193370e-19 -2.009350e-25 -3.147000e-44 -2.530580e-75 -1.395110e-91
  -346.0         X  1.487530e-64  9.679660e-65  6.298760e-65  4.098750e-65  2.667160e-65   0.086957   0.053572  0.033994  0.021842  0.014112  0.009141  0.005928  0.003847  0.002497  0.001621  0.001053  6.835980e-04  4.439360e-04  2.883120e-04  1.872520e-04 -0.099134 -0.084844 -0.078621 -0.069480 -0.058751 -0.047653 -0.036300 -0.025439 -0.016057 -0.008739 -0.003925 -0.001362 -3.348090e-04 -5.235050e-05 -4.478520e-06 -1.690730e-07 -2.176650e-09 -6.776730e-12 -3.180890e-15 -1.207550e-19 -2.033310e-25 -3.185150e-44 -2.562300e-75 -1.412930e-91
  -344.0         X  1.505860e-64  9.798930e-65  6.376390e-65  4.149270e-65  2.700040e-65   0.087998   0.054213  0.034400  0.022103  0.014280  0.009250  0.005999  0.003893  0.002527  0.001641  0.001065  6.917570e-04  4.492330e-04  2.917520e-04  1.894850e-04 -0.100320 -0.085860 -0.079562 -0.070312 -0.059454 -0.048224 -0.036735 -0.025743 -0.016249 -0.008844 -0.003972 -0.001378 -3.388040e-04 -5.297470e-05 -4.531870e-06 -1.710860e-07 -2.202550e-09 -6.857360e-12 -3.218770e-15 -1.221960e-19 -2.057660e-25 -3.223910e-44 -2.594550e-75 -1.431060e-91
  -342.0         X  1.524480e-64  9.920170e-65  6.455300e-65  4.200630e-65  2.733470e-65   0.089056   0.054864  0.034814  0.022369  0.014452  0.009361  0.006071  0.003940  0.002557  0.001660  0.001078  7.000480e-04  4.546170e-04  2.952470e-04  1.917550e-04 -0.101526 -0.086892 -0.080519 -0.071157 -0.060169 -0.048803 -0.037176 -0.026052 -0.016445 -0.008950 -0.004019 -0.001395 -3.428630e-04 -5.360890e-05 -4.586080e-06 -1.731310e-07 -2.228860e-09 -6.939300e-12 -3.257260e-15 -1.236610e-19 -2.082410e-25 -3.263310e-44 -2.627350e-75 -1.449500e-91
