Name:A X_Dim:60 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28         29         30        31        32        33        34        35        36            37            38            39            40            41            42            43
  -360.0         X  6.402460e-22  5.752060e-22  5.167740e-22  4.642790e-22  4.171170e-22    1.352060    1.171320    1.021030    0.894649    0.787033    0.694507    0.614362    0.544536    0.483421   0.429731   0.382423   0.340635   0.303649   0.270857   0.241742  -1.181660  -1.128430  -1.102680  -1.061600  -1.007630  -0.943663  -0.866644  -0.776319  -0.675153  -0.564147  -0.448652 -0.334532 -0.229135 -0.140440 -0.074170 -0.031961 -0.010530 -2.433850e-03 -3.508830e-04 -2.703200e-05 -9.592570e-07 -1.886070e-11 -3.278020e-19 -2.901790e-23
  -358.0         X  6.468030e-22  5.810970e-22  5.220670e-22  4.690330e-22  4.213880e-22    1.367300    1.184490    1.032490    0.904672    0.795834    0.702259    0.621207    0.550594    0.488790   0.434496   0.386657   0.344402   0.307002   0.273844   0.244405  -1.195040  -1.141200  -1.115160  -1.073610  -1.019020  -0.954320  -0.876419  -0.785061  -0.682740  -0.570470  -0.453663 -0.338254 -0.231672 -0.141986 -0.074982 -0.032308 -0.010644 -2.459920e-03 -3.546120e-04 -2.731690e-05 -9.692910e-07 -1.905520e-11 -3.311560e-19 -2.931470e-23
  -356.0         X  6.534480e-22  5.870670e-22  5.274300e-22  4.738520e-22  4.257170e-22    1.382770    1.197870    1.044120    0.914847    0.804768    0.710129    0.628156    0.556742    0.494240   0.439333   0.390956   0.348225   0.310405   0.276876   0.247107  -1.208630  -1.154170  -1.127830  -1.085800  -1.030580  -0.965140  -0.886343  -0.793936  -0.690442  -0.576888  -0.458750 -0.342032 -0.234246 -0.143556 -0.075805 -0.032661 -0.010759 -2.486360e-03 -3.583940e-04 -2.760590e-05 -9.794650e-07 -1.925230e-11 -3.345550e-19 -2.961550e-23
  -354.0         X  6.601840e-22  5.931180e-22  5.328660e-22  4.787360e-22  4.301050e-22    1.398480    1.211450    1.055940    0.925178    0.813838    0.718117    0.635211    0.562984    0.499772   0.444243   0.395318   0.352105   0.313860   0.279953   0.249850  -1.222430  -1.167340  -1.140700  -1.098180  -1.042320  -0.976126  -0.896420  -0.802948  -0.698262  -0.583405  -0.463915 -0.345866 -0.236860 -0.145149 -0.076642 -0.033019 -0.010876 -2.513190e-03 -3.622300e-04 -2.789900e-05 -9.897820e-07 -1.945210e-11 -3.380000e-19 -2.992030e-23
  -352.0         X  6.670110e-22  5.992510e-22  5.383760e-22  4.836860e-22  4.345520e-22    1.414430    1.225240    1.067930    0.935666    0.823047    0.726228    0.642372    0.569321    0.505388   0.449228   0.399747   0.356044   0.317366   0.283076   0.252634  -1.236450  -1.180720  -1.153760  -1.110750  -1.054250  -0.987282  -0.906653  -0.812098  -0.706203  -0.590021  -0.469158 -0.349760 -0.239513 -0.146766 -0.077490 -0.033382 -0.010995 -2.540410e-03 -3.661210e-04 -2.819630e-05 -1.000240e-06 -1.965470e-11 -3.414910e-19 -3.022920e-23
  -350.0         X  6.739300e-22  6.054680e-22  5.439610e-22  4.887030e-22  4.390590e-22    1.430620    1.239240    1.080110    0.946316    0.832397    0.734462    0.649643    0.575754    0.511089   0.454287   0.404243   0.360043   0.320925   0.286247   0.255460  -1.250680  -1.194300  -1.167030  -1.123520  -1.066360  -0.998611  -0.917043  -0.821389  -0.714266  -0.596739  -0.474481 -0.353712 -0.242207 -0.148407 -0.078351 -0.033750 -0.011115 -2.568020e-03 -3.700680e-04 -2.849770e-05 -1.010850e-06 -1.986010e-11 -3.450300e-19 -3.054230e-23
  -348.0         X  6.809440e-22  6.117690e-22  5.496220e-22  4.937890e-22  4.436290e-22    1.447070    1.253460    1.092480    0.957130    0.841890    0.742824    0.657025    0.582285    0.516877   0.459424   0.408807   0.364102   0.324539   0.289466   0.258329  -1.265130  -1.208090  -1.180510  -1.136490  -1.078650  -1.010120  -0.927596  -0.830825  -0.722453  -0.603560  -0.479887 -0.357725 -0.244941 -0.150073 -0.079225 -0.034124 -0.011237 -2.596040e-03 -3.740730e-04 -2.880360e-05 -1.021610e-06 -2.006830e-11 -3.486170e-19 -3.085970e-23
  -346.0         X  6.880550e-22  6.181570e-22  5.553610e-22  4.989450e-22  4.482600e-22    1.463780    1.267900    1.105040    0.968111    0.851531    0.751314    0.664521    0.588917    0.522754   0.464640   0.413441   0.368224   0.328207   0.292733   0.261241  -1.279810  -1.222100  -1.194190  -1.149660  -1.091140  -1.021800  -0.938313  -0.840408  -0.730768  -0.610487  -0.485376 -0.361799 -0.247717 -0.151764 -0.080112 -0.034504 -0.011361 -2.624460e-03 -3.781350e-04 -2.911380e-05 -1.032530e-06 -2.027940e-11 -3.522530e-19 -3.118130e-23
  -344.0         X  6.952630e-22  6.246320e-22  5.611780e-22  5.041710e-22  4.529560e-22    1.480750    1.282560    1.117790    0.979263    0.861321    0.759935    0.672133    0.595651    0.528722   0.469936   0.418146   0.372408   0.331931   0.296050   0.264198  -1.294720  -1.236340  -1.208090  -1.163030  -1.103830  -1.033670  -0.949198  -0.850141  -0.739213  -0.617522  -0.490949 -0.365936 -0.250536 -0.153481 -0.081013 -0.034889 -0.011487 -2.653310e-03 -3.822570e-04 -2.942840e-05 -1.043590e-06 -2.049350e-11 -3.559380e-19 -3.150740e-23
  -342.0         X  7.025700e-22  6.311970e-22  5.670760e-22  5.094690e-22  4.577160e-22    1.497980    1.297460    1.130750    0.990590    0.871263    0.768690    0.679862    0.602489    0.534782   0.475313   0.422924   0.376657   0.335713   0.299419   0.267200  -1.309870  -1.250790  -1.222220  -1.176620  -1.116710  -1.045730  -0.960254  -0.860026  -0.747790  -0.624667  -0.496610 -0.370138 -0.253398 -0.155224 -0.081927 -0.035280 -0.011615 -2.682580e-03 -3.864390e-04 -2.974760e-05 -1.054820e-06 -2.071050e-11 -3.596750e-19 -3.183790e-23
  -340.0         X  7.099780e-22  6.378520e-22  5.730550e-22  5.148410e-22  4.625410e-22    1.515490    1.312590    1.143910    1.002090    0.881361    0.777583    0.687713    0.609433    0.540935   0.480774   0.427775   0.380971   0.339553   0.302839   0.270248  -1.325260  -1.265480  -1.236560  -1.190420  -1.129810  -1.057970  -0.971485  -0.870068  -0.756501  -0.631924  -0.502359 -0.374404 -0.256304 -0.156995 -0.082855 -0.035677 -0.011744 -2.712290e-03 -3.906820e-04 -3.007150e-05 -1.066210e-06 -2.093060e-11 -3.634620e-19 -3.217300e-23
  -338.0         X  7.174890e-22  6.446000e-22  5.791170e-22  5.202870e-22  4.674340e-22    1.533270    1.327960    1.157270    1.013780    0.891617    0.786614    0.695685    0.616486    0.547185   0.486319   0.432701   0.385352   0.343452   0.306311   0.273343  -1.340890  -1.280400  -1.251130  -1.204450  -1.143100  -1.070410  -0.982894  -0.880268  -0.765351  -0.639295  -0.508198 -0.378737 -0.259255 -0.158792 -0.083798 -0.036080 -0.011876 -2.742430e-03 -3.949880e-04 -3.040010e-05 -1.077760e-06 -2.115380e-11 -3.673030e-19 -3.251260e-23
  -336.0         X  7.251040e-22  6.514410e-22  5.852630e-22  5.258080e-22  4.723940e-22    1.551340    1.343570    1.170850    1.025650    0.902036    0.795787    0.703783    0.623650    0.553532   0.491951   0.437705   0.389801   0.347411   0.309838   0.276485  -1.356780  -1.295550  -1.265940  -1.218690  -1.156610  -1.083050  -0.994485  -0.890631  -0.774340  -0.646783  -0.514129 -0.383138 -0.262253 -0.160617 -0.084755 -0.036489 -0.012010 -2.773030e-03 -3.993570e-04 -3.073340e-05 -1.089480e-06 -2.138020e-11 -3.711960e-19 -3.285690e-23
  -334.0         X  7.328250e-22  6.583780e-22  5.914950e-22  5.314070e-22  4.774240e-22    1.569690    1.359440    1.184640    1.037710    0.912619    0.805106    0.712009    0.630926    0.559979   0.497672   0.442786   0.394319   0.351433   0.313419   0.279677  -1.372920  -1.310960  -1.280990  -1.233170  -1.170340  -1.095890  -1.006260  -0.901159  -0.783473  -0.654389  -0.520154 -0.387609 -0.265297 -0.162470 -0.085726 -0.036904 -0.012145 -2.804090e-03 -4.037920e-04 -3.107170e-05 -1.101370e-06 -2.160970e-11 -3.751440e-19 -3.320600e-23
  -332.0         X  7.406550e-22  6.654120e-22  5.978140e-22  5.370840e-22  4.825240e-22    1.588340    1.375550    1.198660    1.049960    0.923370    0.814572    0.720365    0.638317    0.566528   0.503482   0.447948   0.398909   0.355517   0.317057   0.282919  -1.389320  -1.326610  -1.296270  -1.247880  -1.184290  -1.108940  -1.018230  -0.911856  -0.792752  -0.662117  -0.526274 -0.392149 -0.268389 -0.164353 -0.086713 -0.037325 -0.012283 -2.835610e-03 -4.082920e-04 -3.141500e-05 -1.113430e-06 -2.184250e-11 -3.791460e-19 -3.356000e-23
  -330.0         X  7.485940e-22  6.725440e-22  6.042210e-22  5.428400e-22  4.876960e-22    1.607290    1.391930    1.212900    1.062400    0.934293    0.824189    0.728853    0.645825    0.573180   0.509384   0.453190   0.403570   0.359666   0.320751   0.286211  -1.405980  -1.342510  -1.311810  -1.262820  -1.198470  -1.122200  -1.030380  -0.922725  -0.802180  -0.669968  -0.532492 -0.396762 -0.271529 -0.166265 -0.087715 -0.037754 -0.012423 -2.867610e-03 -4.128590e-04 -3.176330e-05 -1.125670e-06 -2.207870e-11 -3.832050e-19 -3.391880e-23
