Name:A X_Dim:600 Y_Dim:120 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37         38         39            40            41            42            43
  -360.0         X  7.557020e-11  7.164500e-11  6.792370e-11  6.439570e-11  6.105100e-11     15.263500    14.191300    13.221800    12.344100    11.545100    10.814200    10.142900     9.524020     8.951680     8.420940     7.927620     7.468130     7.039380     6.638670     6.263650    -9.555800    -9.317140    -9.199360    -9.008180    -8.750730    -8.436070    -8.042700    -7.559750    -6.988290    -6.318400    -5.562640    -4.735890    -3.863930    -2.986890   -2.150780   -1.406190   -0.808675   -0.391605  -0.150350  -0.042303 -8.090060e-03 -3.716580e-05 -5.086740e-09 -4.855380e-11
  -358.0         X  7.639400e-11  7.242610e-11  6.866430e-11  6.509780e-11  6.171670e-11     15.423300    14.339900    13.360100    12.473200    11.665900    10.927300    10.249000     9.623590     9.045250     8.508960     8.010480     7.546190     7.112950     6.708060     6.329120    -9.656030    -9.414850    -9.295830    -9.102620    -8.842450    -8.524460    -8.126940    -7.638900    -7.061420    -6.384480    -5.620780    -4.785370    -3.904270    -3.018070   -2.173240   -1.420880   -0.817138   -0.395712  -0.151932  -0.042750 -8.175860e-03 -3.756450e-05 -5.141980e-09 -4.908350e-11
  -356.0         X  7.722920e-11  7.321790e-11  6.941500e-11  6.580960e-11  6.239150e-11     15.585300    14.490400    13.500300    12.604000    11.788200    11.041900    10.356400     9.724440     9.140040     8.598120     8.094410     7.625250     7.187470     6.778340     6.395430    -9.757570    -9.513830    -9.393540    -9.198290    -8.935360    -8.614000    -8.212270    -7.719080    -7.135500    -6.451410    -5.679670    -4.835480    -3.945140    -3.049650   -2.195990   -1.435760   -0.825709   -0.399872  -0.153534  -0.043203 -8.262800e-03 -3.796850e-05 -5.197970e-09 -4.962050e-11
  -354.0         X  7.807580e-11  7.402050e-11  7.017600e-11  6.653110e-11  6.307550e-11     15.749300    14.642800    13.642300    12.736600    11.912100    11.157900    10.465200     9.826600     9.236040     8.688430     8.179420     7.705330     7.262960     6.849530     6.462600    -9.860430    -9.614090    -9.492530    -9.295200    -9.029470    -8.704710    -8.298720    -7.800290    -7.210530    -6.519210    -5.739330    -4.886230    -3.986530    -3.081640   -2.219030   -1.450840   -0.834391   -0.404086  -0.155157  -0.043661 -8.350890e-03 -3.837790e-05 -5.254730e-09 -5.016490e-11
  -352.0         X  7.893400e-11  7.483430e-11  7.094750e-11  6.726260e-11  6.376900e-11     15.915500    14.797200    13.786100    12.870800    12.037600    11.275500    10.575400     9.930080     9.333290     8.779900     8.265540     7.786450     7.339420     6.921640     6.530640    -9.964630    -9.715670    -9.592810    -9.393370    -9.124820    -8.796590    -8.386280    -7.882560    -7.286540    -6.587890    -5.799750    -4.937650    -4.028460    -3.114050   -2.242360   -1.466110   -0.843185   -0.408354  -0.156801  -0.044125 -8.440140e-03 -3.879280e-05 -5.312260e-09 -5.071670e-11
  -350.0         X  7.980410e-11  7.565920e-11  7.172960e-11  6.800410e-11  6.447210e-11     16.083800    14.953700    13.931800    13.006800    12.164700    11.394500    10.687100    10.034900     9.431800     8.872560     8.352760     7.868620     7.416870     6.994680     6.599560   -10.070200    -9.818570    -9.694390    -9.492820    -9.221400    -8.889680    -8.474990    -7.965900    -7.363530    -6.657460    -5.860960    -4.989730    -4.070930    -3.146870   -2.266000   -1.481580   -0.852094   -0.412678  -0.158466  -0.044596 -8.530560e-03 -3.921330e-05 -5.370580e-09 -5.127620e-11
  -348.0         X  8.068620e-11  7.649560e-11  7.252260e-11  6.875590e-11  6.518490e-11     16.254400    15.112100    14.079400    13.144500    12.293500    11.515100    10.800200    10.141100     9.531590     8.966430     8.441120     7.951860     7.495330     7.068670     6.669370   -10.177100    -9.922810    -9.797310    -9.593580    -9.319250    -8.983970    -8.564850    -8.050320    -7.441530    -6.727940    -5.922960    -5.042480    -4.113950    -3.180120   -2.289950   -1.497240   -0.861118   -0.417059  -0.160154  -0.045073 -8.622190e-03 -3.963950e-05 -5.429700e-09 -5.184350e-11
  -346.0         X  8.158060e-11  7.734350e-11  7.332650e-11  6.951820e-11  6.590760e-11     16.427100    15.272700    14.228900    13.284000    12.424000    11.637300    10.914700    10.248600     9.632680     9.061510     8.530630     8.036170     7.574800     7.143620     6.740090   -10.285500   -10.028400    -9.901570    -9.695650    -9.418380    -9.079510    -8.655890    -8.135850    -7.520550    -6.799330    -5.985780    -5.095920    -4.157530    -3.213800   -2.314210   -1.513120   -0.870260   -0.421496  -0.161863  -0.045556 -8.715030e-03 -4.007140e-05 -5.489640e-09 -5.241860e-11
  -344.0         X  8.248740e-11  7.820320e-11  7.414160e-11  7.029100e-11  6.664030e-11     16.602100    15.435300    14.380300    13.425400    12.556100    11.761100    11.030800    10.357600     9.735080     9.157840     8.621310     8.121590     7.655310     7.219550     6.811730   -10.395200   -10.135400   -10.007200    -9.799070    -9.518810    -9.176290    -8.748120    -8.222500    -7.600590    -6.871660    -6.049410    -5.150060    -4.201670    -3.247920   -2.338780   -1.529190   -0.879520   -0.425992  -0.163595  -0.046045 -8.809110e-03 -4.050920e-05 -5.550410e-09 -5.300170e-11
  -342.0         X  8.340680e-11  7.907490e-11  7.496810e-11  7.107460e-11  6.738330e-11     16.779400    15.600100    14.533800    13.568600    12.690000    11.886500    11.148400    10.468000     9.838820     9.255420     8.713160     8.208120     7.736870     7.296470     6.884300   -10.506500   -10.243800   -10.114200    -9.903840    -9.620560    -9.274350    -8.841570    -8.310280    -7.681690    -6.944930    -6.113870    -5.204900    -4.246390    -3.282480   -2.363670   -1.545480   -0.888902   -0.430546  -0.165350  -0.046541 -8.904440e-03 -4.095290e-05 -5.612010e-09 -5.359290e-11
