Name:A X_Dim:600 Y_Dim:200 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5             6             7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38         39         40        41            42            43
  -354.0         X  1.878480e-06  1.819330e-06  1.762050e-06  1.706580e-06  1.652850e-06     26.672100     25.333500     24.102900    22.970800    21.923900    20.951300    20.044100    19.194800    18.397400    17.646700    16.938100    16.268000    15.633000    15.030300    14.457300   -12.985500   -12.723400   -12.593800   -12.383000   -12.098500   -11.749500   -11.311400   -10.770400   -10.125600    -9.362450    -8.490510    -7.519920    -6.470570    -5.375930   -4.273450   -3.205640   -2.231660   -1.407950   -0.777604  -0.358672  -0.131933 -0.005195 -2.503610e-05 -1.538110e-06
  -352.0         X  1.896590e-06  1.836870e-06  1.779040e-06  1.723030e-06  1.668780e-06     26.930300     25.578300     24.335500    23.192300    22.135000    21.152900    20.236700    19.379200    18.573900    17.815800    17.100400    16.423700    15.782600    15.174000    14.595600   -13.113000   -12.848300   -12.717300   -12.504400   -12.217000   -11.864500   -11.421900   -10.875500   -10.224200    -9.453450    -8.572810    -7.592590    -6.532880    -5.427520   -4.314320   -3.236200   -2.252880   -1.421320   -0.784985  -0.362081  -0.133190 -0.005245 -2.527740e-05 -1.552940e-06
  -350.0         X  1.914910e-06  1.854620e-06  1.796220e-06  1.739670e-06  1.684900e-06     27.191500     25.826000     24.570900    23.416300    22.348600    21.356700    20.431600    19.565600    18.752500    17.987000    17.264500    16.581300    15.933900    15.319400    14.735300   -13.242100   -12.974600   -12.842300   -12.627300   -12.336900   -11.980900   -11.533800   -10.981900   -10.324000    -9.545520    -8.656070    -7.666100    -6.595930    -5.479710   -4.355650   -3.267100   -2.274340   -1.434840   -0.792450  -0.365529  -0.134461 -0.005295 -2.552140e-05 -1.567940e-06
  -348.0         X  1.933440e-06  1.872560e-06  1.813610e-06  1.756500e-06  1.701200e-06     27.455700     26.076600     24.808900    23.642900    22.564600    21.563000    20.628700    19.754200    18.933100    18.160100    17.430600    16.740700    16.086900    15.466500    14.876700   -13.372600   -13.102400   -12.968800   -12.751600   -12.458300   -12.098600   -11.647000   -11.089500   -10.425000    -9.638680    -8.740320    -7.740480    -6.659700    -5.532500   -4.397460   -3.298360   -2.296050   -1.448510   -0.800000  -0.369016  -0.135747 -0.005346 -2.576830e-05 -1.583110e-06
  -346.0         X  1.952180e-06  1.890720e-06  1.831190e-06  1.773530e-06  1.717700e-06     27.723000     26.330100     25.049800    23.872200    22.783200    21.771600    20.828100    19.945000    19.115800    18.335200    17.598600    16.901900    16.241800    15.615300    15.019800   -13.504800   -13.231800   -13.096900   -12.877400   -12.581100   -12.217800   -11.761600   -11.198400   -10.527200    -9.732940    -8.825560    -7.815730    -6.724220    -5.585900   -4.439760   -3.329980   -2.318000   -1.462340   -0.807636  -0.372542  -0.137047 -0.005398 -2.601810e-05 -1.598460e-06
  -344.0         X  1.971140e-06  1.909080e-06  1.848980e-06  1.790760e-06  1.734380e-06     27.993500     26.586600     25.293500    24.104100    23.004300    21.982700    21.029800    20.138000    19.300700    18.512400    17.768500    17.064900    16.398400    15.765700    15.164400   -13.638500   -13.362800   -13.226400   -13.004700   -12.705400   -12.338400   -11.877500   -11.308600   -10.630600    -9.828310    -8.911800    -7.891860    -6.789480    -5.639920   -4.482530   -3.361960   -2.340200   -1.476320   -0.815358  -0.376109  -0.138363 -0.005450 -2.627070e-05 -1.613980e-06
  -342.0         X  1.990320e-06  1.927660e-06  1.866970e-06  1.808190e-06  1.751260e-06     28.267200     26.846100     25.540100    24.338800    23.228000    22.196200    21.233900    20.333200    19.487600    18.691600    17.940300    17.229900    16.556800    15.918000    15.310800   -13.773900   -13.495300   -13.357600   -13.133600   -12.831200   -12.460400   -11.994900   -11.420200   -10.735200    -9.924820    -8.999060    -7.968880    -6.855510    -5.694560   -4.525810   -3.394310   -2.362660   -1.490470   -0.823169  -0.379716  -0.139693 -0.005503 -2.652630e-05 -1.629690e-06
  -340.0         X  2.009730e-06  1.946450e-06  1.885170e-06  1.825820e-06  1.768330e-06     28.544100     27.108700     25.789500    24.576200    23.454300    22.412200    21.440300    20.530700    19.676800    18.872800    18.114200    17.396800    16.717000    16.071900    15.458800   -13.910900   -13.629400   -13.490300   -13.264000   -12.958500   -12.583900   -12.113600   -11.533000   -10.841100   -10.022500    -9.087350    -8.046810    -6.922310    -5.749840   -4.569570   -3.427020   -2.385370   -1.504770   -0.831067  -0.383365  -0.141039 -0.005556 -2.678480e-05 -1.645580e-06
  -338.0         X  2.029360e-06  1.965460e-06  1.903580e-06  1.843650e-06  1.785600e-06     28.824200     27.374300     26.041900    24.816300    23.683200    22.630800    21.649200    20.730500    19.868100    19.056200    18.290000    17.565500    16.879100    16.227700    15.608500   -14.049500   -13.765200   -13.624600   -13.396000   -13.087300   -12.708900   -12.233800   -11.647200   -10.948300   -10.121300    -9.176690    -8.125660    -6.989890    -5.805760   -4.613850   -3.460110   -2.408340   -1.519240   -0.839056  -0.387055  -0.142400 -0.005610 -2.704630e-05 -1.661650e-06
  -336.0         X  2.049210e-06  1.984700e-06  1.922210e-06  1.861690e-06  1.803070e-06     29.107700     27.643100     26.297200    25.059300    23.914900    22.851800    21.860500    20.932700    20.061600    19.241700    18.468000    17.736300    17.043100    16.385200    15.760000   -14.189900   -13.902600   -13.760500   -13.529600   -13.217700   -12.835400   -12.355400   -11.762800   -11.056700   -10.221300    -9.267080    -8.205430    -7.058260    -5.862330   -4.658630   -3.493580   -2.431570   -1.533870   -0.847135  -0.390787  -0.143777 -0.005665 -2.731090e-05 -1.677910e-06
