Name:B X_Dim:150 Y_Dim:30 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36          37          38          39         40            41            42            43
  -360.0         X  6.269080e-06  6.135900e-06  6.005540e-06  5.877960e-06  5.753080e-06     0.771403     0.748912     0.727281     0.706561     0.686690     0.667615     0.649284     0.631654     0.614681     0.598328     0.582561     0.567346     0.552654     0.538458     0.524732    -0.262542    -0.259557    -0.258060    -0.255596    -0.252208    -0.247958    -0.242465    -0.235436    -0.226688    -0.215794    -0.202601    -0.186944    -0.168823   -0.148533   -0.126531   -0.103438   -0.080309   -0.058344   -0.038794   -0.022893  -0.011626 -1.311530e-03 -3.622860e-05 -5.564460e-06
  -358.0         X  6.355740e-06  6.220710e-06  6.088560e-06  5.959210e-06  5.832610e-06     0.782037     0.759236     0.737307     0.716301     0.696157     0.676818     0.658235     0.640362     0.623155     0.606577     0.590592     0.575167     0.560273     0.545881     0.531967    -0.266161    -0.263134    -0.261617    -0.259119    -0.255685    -0.251375    -0.245806    -0.238681    -0.229812    -0.218769    -0.205393    -0.189520    -0.171150   -0.150580   -0.128275   -0.104864   -0.081416   -0.059148   -0.039329   -0.023209  -0.011786 -1.329640e-03 -3.672930e-05 -5.641380e-06
  -356.0         X  6.443980e-06  6.307080e-06  6.173090e-06  6.041940e-06  5.913590e-06     0.792865     0.769748     0.747516     0.726219     0.705795     0.686189     0.667349     0.649228     0.631783     0.614976     0.598770     0.583131     0.568031     0.553440     0.539333    -0.269845    -0.266777    -0.265238    -0.262705    -0.259224    -0.254855    -0.249209    -0.241985    -0.232994    -0.221797    -0.208236    -0.192144    -0.173519   -0.152665   -0.130051   -0.106315   -0.082544   -0.059967   -0.039873   -0.023531  -0.011950 -1.348080e-03 -3.723900e-05 -5.719710e-06
  -354.0         X  6.533840e-06  6.395030e-06  6.259170e-06  6.126200e-06  5.996050e-06     0.803891     0.780452     0.757911     0.736318     0.715610     0.695732     0.676630     0.658257     0.640569     0.623528     0.607097     0.591241     0.575930     0.561137     0.546833    -0.273596    -0.270486    -0.268926    -0.266358    -0.262828    -0.258398    -0.252674    -0.245349    -0.236233    -0.224880    -0.211131    -0.194815    -0.175931   -0.154787   -0.131859   -0.107794   -0.083691   -0.060801   -0.040428   -0.023858  -0.012116 -1.366850e-03 -3.775810e-05 -5.799470e-06
  -352.0         X  6.625360e-06  6.484600e-06  6.346840e-06  6.212000e-06  6.080040e-06     0.815119     0.791353     0.768497     0.746602     0.725606     0.705449     0.686080     0.667451     0.649517     0.632238     0.615576     0.599499     0.583975     0.568975     0.554472    -0.277417    -0.274263    -0.272681    -0.270077    -0.266498    -0.262006    -0.256202    -0.248775    -0.239531    -0.228021    -0.214080    -0.197535    -0.178388   -0.156949   -0.133701   -0.109299   -0.084860   -0.061650   -0.040993   -0.024191  -0.012285 -1.385970e-03 -3.828680e-05 -5.880700e-06
  -350.0         X  6.718570e-06  6.575830e-06  6.436130e-06  6.299400e-06  6.165580e-06     0.826553     0.802454     0.779278     0.757076     0.735785     0.715346     0.695706     0.676815     0.658629     0.641108     0.624213     0.607910     0.592168     0.576958     0.562251    -0.281308    -0.278110    -0.276506    -0.273865    -0.270236    -0.265681    -0.259795    -0.252264    -0.242891    -0.231219    -0.217082    -0.200306    -0.180890   -0.159150   -0.135576   -0.110832   -0.086051   -0.062515   -0.041568   -0.024531  -0.012458 -1.405450e-03 -3.882530e-05 -5.963440e-06
  -348.0         X  6.813510e-06  6.668760e-06  6.527080e-06  6.388420e-06  6.252710e-06     0.838200     0.813761     0.790258     0.767744     0.746153     0.725426     0.705509     0.686352     0.667910     0.650142     0.633009     0.616477     0.600513     0.585088     0.570174    -0.285271    -0.282027    -0.280401    -0.277723    -0.274042    -0.269423    -0.263455    -0.255818    -0.246313    -0.234476    -0.220140    -0.203128    -0.183438   -0.161392   -0.137486   -0.112394   -0.087263   -0.063396   -0.042154   -0.024877  -0.012634 -1.425280e-03 -3.937380e-05 -6.047710e-06
  -346.0         X  6.910220e-06  6.763420e-06  6.619730e-06  6.479100e-06  6.341460e-06     0.850063     0.825279     0.801443     0.778610     0.756714     0.735693     0.715494     0.696066     0.677364     0.659344     0.641969     0.625203     0.609013     0.593370     0.578245    -0.289307    -0.286018    -0.284368    -0.281653    -0.277920    -0.273236    -0.267183    -0.259438    -0.249798    -0.237794    -0.223255    -0.206002    -0.186034   -0.163676   -0.139432   -0.113984   -0.088498   -0.064294   -0.042751   -0.025229  -0.012813 -1.445490e-03 -3.993250e-05 -6.133560e-06
  -344.0         X  7.008750e-06  6.859850e-06  6.714120e-06  6.571490e-06  6.431880e-06     0.862148     0.837011     0.812836     0.789679     0.767471     0.746153     0.725666     0.705962     0.686994     0.668718     0.651096     0.634091     0.617672     0.601806     0.586466    -0.293419    -0.290083    -0.288410    -0.285656    -0.281870    -0.277119    -0.270980    -0.263125    -0.253348    -0.241173    -0.226428    -0.208930    -0.188678   -0.166002   -0.141414   -0.115605   -0.089756   -0.065208   -0.043359   -0.025588  -0.012995 -1.466070e-03 -4.050160e-05 -6.221010e-06
  -342.0         X  7.109140e-06  6.958110e-06  6.810290e-06  6.665610e-06  6.524010e-06     0.874459     0.848963     0.824444     0.800956     0.778431     0.756808     0.736029     0.716044     0.696804     0.678268     0.660394     0.643147     0.626493     0.610401     0.594842    -0.297608    -0.294224    -0.292527    -0.289734    -0.285894    -0.281075    -0.274849    -0.266881    -0.256965    -0.244616    -0.229661    -0.211912    -0.191372   -0.168372   -0.143433   -0.117255   -0.091038   -0.066139   -0.043978   -0.025954  -0.013181 -1.487040e-03 -4.108150e-05 -6.310120e-06
  -340.0         X  7.211420e-06  7.058220e-06  6.908270e-06  6.761510e-06  6.617870e-06     0.887002     0.861141     0.836270     0.812445     0.789597     0.767664     0.746587     0.726315     0.706800     0.687997     0.669867     0.652373     0.635480     0.619157     0.603375    -0.301876    -0.298444    -0.296722    -0.293889    -0.289994    -0.285106    -0.278790    -0.270708    -0.260650    -0.248124    -0.232954    -0.214951    -0.194116   -0.170787   -0.145490   -0.118937   -0.092344   -0.067088   -0.044609   -0.026326  -0.013370 -1.508410e-03 -4.167240e-05 -6.400910e-06
  -338.0         X  7.315650e-06  7.160230e-06  7.008120e-06  6.859240e-06  6.713520e-06     0.899782     0.873549     0.848319     0.824151     0.800974     0.778725     0.757345     0.736781     0.716984     0.697911     0.679520     0.661773     0.644637     0.628079     0.612070    -0.306224    -0.302743    -0.300997    -0.298122    -0.294171    -0.289213    -0.282806    -0.274608    -0.264404    -0.251698    -0.236310    -0.218048    -0.196912   -0.173247   -0.147586   -0.120651   -0.093674   -0.068055   -0.045252   -0.026706  -0.013563 -1.530180e-03 -4.227440e-05 -6.493420e-06
  -336.0         X  7.421860e-06  7.264190e-06  7.109870e-06  6.958830e-06  6.811000e-06     0.912806     0.886192     0.860597     0.836080     0.812568     0.789996     0.768307     0.747445     0.727362     0.708013     0.689356     0.671352     0.653968     0.637171     0.620930    -0.310655    -0.307123    -0.305352    -0.302436    -0.298428    -0.293398    -0.286898    -0.278581    -0.268230    -0.255340    -0.239729    -0.221203    -0.199761   -0.175754   -0.149721   -0.122397   -0.095030   -0.069040   -0.045907   -0.027092  -0.013759 -1.552370e-03 -4.288800e-05 -6.587700e-06
