Name:A X_Dim:120 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28         29         30         31         32         33         34        35        36        37        38        39            40            41            42            43
  -344.0         X  1.212550e-11  1.148940e-11  1.088680e-11  1.031580e-11  9.774700e-12     5.130000     4.722200     4.357500     4.030970     3.736960     3.470890     3.229050    3.008370    2.806320    2.620770    2.449920    2.292240    2.146400    2.011280    1.885870   -3.443400   -3.346770   -3.299160   -3.222020   -3.118400   -2.992190   -2.835150   -2.643570   -2.418830  -2.158440  -1.869260  -1.559390  -1.241160  -0.931532  -0.647965 -0.407024 -0.223710 -0.103019 -0.037433 -0.009925 -1.783560e-03 -7.132300e-06 -8.512700e-10 -7.726310e-12
  -342.0         X  1.223320e-11  1.159150e-11  1.098350e-11  1.040740e-11  9.861510e-12     5.187580     4.775020     4.406090     4.075780     3.778380     3.509250     3.264640    3.041440    2.837100    2.649440    2.476660    2.317200    2.169730    2.033090    1.906290   -3.482850   -3.385070   -3.336900   -3.258840   -3.153990   -3.026290   -2.867390   -2.673550   -2.446170  -2.182740  -1.890190  -1.576730  -1.254850  -0.941714  -0.654970 -0.411370 -0.226065 -0.104087 -0.037815 -0.010024 -1.801070e-03 -7.199380e-06 -8.589380e-10 -7.794790e-12
  -340.0         X  1.234220e-11  1.169480e-11  1.108130e-11  1.050010e-11  9.949310e-12     5.246030     4.828650     4.455410     4.121260     3.820420     3.548190     3.300760    3.075010    2.868330    2.678540    2.503800    2.342530    2.193400    2.055220    1.926990   -3.522920   -3.423960   -3.375220   -3.296230   -3.190140   -3.060920   -2.900130   -2.704000   -2.473930  -2.207400  -1.911430  -1.594340  -1.268750  -0.952045  -0.662077 -0.415778 -0.228454 -0.105169 -0.038201 -0.010125 -1.818810e-03 -7.267290e-06 -8.666940e-10 -7.864050e-12
  -338.0         X  1.245250e-11  1.179920e-11  1.118030e-11  1.059380e-11  1.003810e-11     5.305380     4.883090     4.505470     4.167430     3.863090     3.587700     3.337420    3.109070    2.900020    2.708070    2.531330    2.368240    2.217420    2.077680    1.948010   -3.563600   -3.463470   -3.414140   -3.334200   -3.226840   -3.096080   -2.933380   -2.734910   -2.502120  -2.232440  -1.932990  -1.612200  -1.282850  -0.962529  -0.669288 -0.420249 -0.230876 -0.106267 -0.038593 -0.010227 -1.836780e-03 -7.336030e-06 -8.745420e-10 -7.934100e-12
  -336.0         X  1.256400e-11  1.190490e-11  1.128040e-11  1.068860e-11  1.012790e-11     5.365630     4.938360     4.556300     4.214300     3.906400     3.627810     3.374630    3.143650    2.932190    2.738030    2.559280    2.394320    2.241790    2.100470    1.969330   -3.604930   -3.503580   -3.453670   -3.372770   -3.264120   -3.131790   -2.967140   -2.766300   -2.530740  -2.257870  -1.954890  -1.630340  -1.297170  -0.973169  -0.676605 -0.424785 -0.233332 -0.107380 -0.038990 -0.010330 -1.854990e-03 -7.405630e-06 -8.824810e-10 -8.004960e-12
  -334.0         X  1.267680e-11  1.201170e-11  1.138160e-11  1.078450e-11  1.021880e-11     5.426810     4.994470     4.607900     4.261880     3.950370     3.668530     3.412400    3.178740    2.964840    2.768440    2.587640    2.420800    2.266520    2.123590    1.990960   -3.646900   -3.544330   -3.493810   -3.411940   -3.301980   -3.168050   -3.001430   -2.798180   -2.559810  -2.283680  -1.977120  -1.648760  -1.311700  -0.983967  -0.684029 -0.429386 -0.235823 -0.108508 -0.039393 -0.010435 -1.873440e-03 -7.476090e-06 -8.905130e-10 -8.076620e-12
  -332.0         X  1.279090e-11  1.211980e-11  1.148400e-11  1.088150e-11  1.031070e-11     5.488940     5.051440     4.660290     4.310180     3.995010     3.709860     3.450740    3.214360    2.997980    2.799310    2.616420    2.447660    2.291620    2.147060    2.012920   -3.689530   -3.585720   -3.534590   -3.451720   -3.340430   -3.204890   -3.036250   -2.830560   -2.589320  -2.309900  -1.999690  -1.667450  -1.326450  -0.994927  -0.691562 -0.434055 -0.238350 -0.109653 -0.039801 -0.010541 -1.892120e-03 -7.547420e-06 -8.986390e-10 -8.149110e-12
  -330.0         X  1.290630e-11  1.222910e-11  1.158760e-11  1.097970e-11  1.040370e-11     5.552020     5.109300     4.713490     4.359220     4.040330     3.751830     3.489670    3.250520    3.031620    2.830640    2.645640    2.474930    2.317090    2.170870    2.035200   -3.732840   -3.627770   -3.576010   -3.492140   -3.379490   -3.242300   -3.071620   -2.863450   -2.619300  -2.336520  -2.022610  -1.686430  -1.341430  -1.006050  -0.699207 -0.438791 -0.240914 -0.110813 -0.040215 -0.010649 -1.911050e-03 -7.619650e-06 -9.068610e-10 -8.222430e-12
  -328.0         X  1.302300e-11  1.233970e-11  1.169230e-11  1.107890e-11  1.049770e-11     5.616090     5.168050     4.767510     4.409020     4.086340     3.794430     3.529180    3.287230    3.065770    2.862450    2.675290    2.502610    2.342940    2.195040    2.057810   -3.776840   -3.670480   -3.618090   -3.533190   -3.419170   -3.280310   -3.107550   -2.896850   -2.649740  -2.363560  -2.045880  -1.705710  -1.356630  -1.017340  -0.706966 -0.443597 -0.243514 -0.111990 -0.040635 -0.010758 -1.930240e-03 -7.692770e-06 -9.151800e-10 -8.296600e-12
  -326.0         X  1.314110e-11  1.245160e-11  1.179830e-11  1.117930e-11  1.059280e-11     5.681150     5.227710     4.822360     4.459590     4.133060     3.837680     3.569300    3.324490    3.100430    2.894730    2.705390    2.530700    2.369180    2.219570    2.080760   -3.821540   -3.713870   -3.660840   -3.574900   -3.459480   -3.318920   -3.144050   -2.930770   -2.680670  -2.391020  -2.069520  -1.725280  -1.372070  -1.028800  -0.714840 -0.448473 -0.246152 -0.113184 -0.041061 -0.010868 -1.949680e-03 -7.766820e-06 -9.235970e-10 -8.371630e-12
