Name:B X_Dim:60 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19         20         21         22         23         24         25         26         27         28         29         30        31        32        33        34        35        36        37        38        39        40        41        42            43
  -360.0         X  9.460480e-04  9.357460e-04  9.255570e-04  9.154790e-04  9.055120e-04    1.448750    1.426950    1.405520    1.384540    1.364020    1.343920    1.324240    1.304970    1.286080    1.267580    1.249440    1.231660    1.214230    1.197130    1.180350  -0.285514  -0.283785  -0.282912  -0.281466  -0.279462  -0.276917  -0.273579  -0.269225  -0.263671  -0.256538  -0.247558 -0.236387 -0.222714 -0.206377 -0.187325 -0.165654 -0.141943 -0.117039 -0.091970 -0.067977 -0.046686 -0.014673 -0.002312 -8.880740e-04
  -358.0         X  9.562450e-04  9.458310e-04  9.355320e-04  9.253450e-04  9.152690e-04    1.465100    1.443040    1.421370    1.400150    1.379390    1.359060    1.339160    1.319670    1.300570    1.281850    1.263510    1.245520    1.227890    1.210590    1.193630  -0.288775  -0.287026  -0.286143  -0.284681  -0.282653  -0.280079  -0.276703  -0.272299  -0.266682  -0.259466  -0.250383 -0.239084 -0.225253 -0.208729 -0.189456 -0.167537 -0.143553 -0.118362 -0.093006 -0.068740 -0.047206 -0.014834 -0.002337 -8.976450e-04
  -356.0         X  9.665900e-04  9.560630e-04  9.456510e-04  9.353540e-04  9.251680e-04    1.481690    1.459380    1.437460    1.416000    1.395000    1.374440    1.354310    1.334590    1.315270    1.296340    1.277790    1.259600    1.241760    1.224270    1.207110  -0.292087  -0.290317  -0.289424  -0.287945  -0.285894  -0.283290  -0.279875  -0.275421  -0.269738  -0.262439  -0.253251 -0.241822 -0.227831 -0.211116 -0.191621 -0.169448 -0.145187 -0.119706 -0.094058 -0.069514 -0.047735 -0.014998 -0.002362 -9.073540e-04
  -354.0         X  9.770850e-04  9.664440e-04  9.559180e-04  9.455080e-04  9.352120e-04    1.498540    1.475970    1.453790    1.432090    1.410850    1.390050    1.369690    1.349740    1.330200    1.311060    1.292290    1.273890    1.255850    1.238150    1.220790  -0.295450  -0.293660  -0.292757  -0.291261  -0.289186  -0.286552  -0.283097  -0.278591  -0.272843  -0.265459  -0.256165 -0.244603 -0.230450 -0.213541 -0.193820 -0.171389 -0.146847 -0.121071 -0.095126 -0.070300 -0.048272 -0.015164 -0.002388 -9.172050e-04
  -352.0         X  9.877350e-04  9.769760e-04  9.663360e-04  9.558110e-04  9.454020e-04    1.515640    1.492820    1.470380    1.448430    1.426940    1.405910    1.385310    1.365130    1.345360    1.325990    1.307010    1.288400    1.270150    1.252250    1.234690  -0.298866  -0.297055  -0.296141  -0.294628  -0.292529  -0.289864  -0.286369  -0.281811  -0.275996  -0.268526  -0.259124 -0.247427 -0.233109 -0.216003 -0.196052 -0.173361 -0.148533 -0.122456 -0.096211 -0.071098 -0.048817 -0.015333 -0.002414 -9.272000e-04
  -350.0         X  9.985400e-04  9.876630e-04  9.769050e-04  9.662650e-04  9.557420e-04    1.533010    1.509930    1.487230    1.465020    1.443280    1.422000    1.401170    1.380760    1.360760    1.341170    1.321960    1.303130    1.284670    1.266560    1.248800  -0.302335  -0.300504  -0.299579  -0.298048  -0.295924  -0.293228  -0.289693  -0.285081  -0.279198  -0.271642  -0.262129 -0.250296 -0.235811 -0.218505 -0.198320 -0.175363 -0.150244 -0.123863 -0.097312 -0.071908 -0.049370 -0.015504 -0.002441 -9.373410e-04
  -348.0         X  1.009500e-03  9.985070e-04  9.876310e-04  9.768730e-04  9.662330e-04    1.550660    1.527300    1.504340    1.481870    1.459880    1.438350    1.417270    1.396620    1.376390    1.356570    1.337140    1.318090    1.299420    1.281100    1.263130  -0.305859  -0.304006  -0.303071  -0.301522  -0.299373  -0.296646  -0.293069  -0.288403  -0.282451  -0.274806  -0.265182 -0.253210 -0.238554 -0.221045 -0.200623 -0.177396 -0.151983 -0.125293 -0.098431 -0.072730 -0.049931 -0.015678 -0.002468 -9.476320e-04
  -346.0         X  1.020630e-03  1.009510e-03  9.985150e-04  9.876380e-04  9.768800e-04    1.568570    1.544950    1.521710    1.498980    1.476730    1.454950    1.433630    1.412740    1.392270    1.372220    1.352560    1.333290    1.314390    1.295860    1.277680  -0.309439  -0.307565  -0.306618  -0.305051  -0.302877  -0.300118  -0.296499  -0.291778  -0.285756  -0.278020  -0.268283 -0.256169 -0.241341 -0.223626 -0.202963 -0.179462 -0.153749 -0.126744 -0.099567 -0.073566 -0.050502 -0.015855 -0.002495 -9.580750e-04
  -344.0         X  1.031920e-03  1.020680e-03  1.009560e-03  9.985630e-04  9.876850e-04    1.586770    1.562870    1.539360    1.516360    1.493850    1.471820    1.450240    1.429100    1.408400    1.388110    1.368220    1.348720    1.329610    1.310860    1.292460  -0.313076  -0.311179  -0.310222  -0.308636  -0.306436  -0.303644  -0.299983  -0.295206  -0.289113  -0.281286  -0.271433 -0.259176 -0.244173 -0.226247 -0.205340 -0.181560 -0.155542 -0.128218 -0.100721 -0.074414 -0.051081 -0.016034 -0.002523 -9.686730e-04
  -342.0         X  1.043380e-03  1.032010e-03  1.020770e-03  1.009650e-03  9.986510e-04    1.605260    1.581070    1.557290    1.534020    1.511240    1.488940    1.467110    1.445730    1.424780    1.404250    1.384130    1.364400    1.345060    1.326090    1.307480  -0.316771  -0.314852  -0.313883  -0.312278  -0.310053  -0.307227  -0.303522  -0.298689  -0.292523  -0.284603  -0.274633 -0.262231 -0.247049 -0.228910 -0.207754 -0.183691 -0.157365 -0.129716 -0.101893 -0.075276 -0.051669 -0.016216 -0.002551 -9.794280e-04
