Name:A X_Dim:600 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4             5             6             7             8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39         40         41        42            43
  -358.0         X  4.520430e-03  4.458620e-03  4.397670e-03  4.337560e-03  4.278270e-03     40.726300     39.259900     37.901700     36.642900    35.470100    34.372400    33.340900    32.368200    31.447900    30.574900    29.744700    28.953400    28.197900    27.475100    26.782600   -14.832400   -14.567400   -14.436300   -14.223100   -13.935100   -13.581900   -13.138100   -12.589900   -11.935900   -11.161300   -10.275000    -9.286470    -8.213830    -7.087530   -5.939360   -4.802490   -3.723630   -2.745610   -1.902770   -1.220480  -0.715738  -0.150176 -0.014032 -4.203310e-03
  -356.0         X  4.547250e-03  4.485070e-03  4.423760e-03  4.363290e-03  4.303650e-03     41.058500     39.578500     38.207900     36.937600    35.754200    34.646700    33.606000    32.624500    31.696100    30.815400    29.977900    29.179700    28.417600    27.688500    26.990100   -14.965000   -14.697400   -14.565000   -14.349800   -14.059000   -13.702300   -13.254300   -12.700800   -12.040600   -11.258500   -10.363800    -9.365930    -8.283280    -7.146610   -5.988040   -4.841060   -3.752840   -2.766570   -1.916850   -1.229210  -0.720669  -0.151132 -0.014117 -4.228240e-03
  -354.0         X  4.574200e-03  4.511660e-03  4.449980e-03  4.389150e-03  4.329150e-03     41.393900     39.900300     38.517000     37.235200    36.041100    34.923600    33.873500    32.883300    31.946600    31.058100    30.213200    29.408100    28.639300    27.903900    27.199400   -15.099100   -14.828900   -14.695200   -14.477800   -14.184300   -13.824100   -13.371700   -12.812900   -12.146300   -11.356800   -10.453600    -9.446230    -8.353450    -7.206280   -6.037190   -4.880000   -3.782310   -2.787710   -1.931040   -1.238000  -0.725636  -0.152094 -0.014201 -4.253290e-03
  -352.0         X  4.601300e-03  4.538390e-03  4.476340e-03  4.415140e-03  4.354780e-03     41.732600     40.225100     38.829200     37.535600    36.330700    35.203000    34.143500    33.144400    32.199400    31.303000    30.450700    29.638500    28.863000    28.121200    27.410600   -15.234700   -14.961800   -14.826900   -14.607400   -14.310900   -13.947300   -13.490500   -12.926200   -12.253200   -11.456100   -10.544200    -9.527360    -8.424340    -7.266550   -6.086820   -4.919300   -3.812050   -2.809040   -1.945360   -1.246860  -0.730639  -0.153062 -0.014287 -4.278470e-03
  -350.0         X  4.628540e-03  4.565250e-03  4.502830e-03  4.441270e-03  4.380550e-03     42.074600     40.553200     39.144400     37.839000    36.623000    35.485100    34.416100    33.408000    32.454600    31.550300    30.690400    29.871000    29.088700    28.340500    27.623700   -15.371800   -15.096200   -14.960000   -14.738300   -14.439000   -14.071800   -13.610500   -13.040800   -12.361200   -11.556400   -10.635900    -9.609340    -8.495950    -7.327430   -6.136930   -4.958980   -3.842070   -2.830550   -1.959790   -1.255790  -0.735678  -0.154035 -0.014372 -4.303780e-03
  -348.0         X  4.655920e-03  4.592250e-03  4.529450e-03  4.467520e-03  4.406450e-03     42.420000     40.884400     39.462600     38.145200    36.918100    35.769900    34.691200    33.674100    32.712100    31.799800    30.932300    30.105700    29.316500    28.561800    27.838700   -15.510400   -15.232100   -15.094500   -14.870700   -14.568400   -14.197600   -13.731900   -13.156600   -12.470500   -11.657900   -10.728500    -9.692170    -8.568290    -7.388910   -6.187530   -4.999030   -3.872350   -2.852240   -1.974350   -1.264790  -0.740754  -0.155015 -0.014458 -4.329210e-03
  -346.0         X  4.683430e-03  4.619380e-03  4.556210e-03  4.493910e-03  4.432470e-03     42.768800     41.218900     39.783900     38.454300    37.216000    36.057400    34.968900    33.942700    32.972100    32.051600    31.176400    30.342500    29.546400    28.785000    28.055700   -15.650600   -15.369600   -15.230600   -15.004600   -14.699300   -14.324900   -13.854600   -13.273600   -12.580900   -11.760400   -10.822100    -9.775870    -8.641380    -7.451020   -6.238630   -5.039460   -3.902920   -2.874130   -1.989020   -1.273860  -0.745867  -0.156000 -0.014545 -4.354770e-03
  -344.0         X  4.711070e-03  4.646640e-03  4.583100e-03  4.520430e-03  4.458620e-03     43.121000     41.556600     40.108300     38.766400    37.516800    36.347600    35.249200    34.213700    33.234400    32.305700    31.422800    30.581500    29.778400    29.010300    28.274600   -15.792300   -15.508500   -15.368200   -15.139900   -14.831700   -14.453500   -13.978600   -13.392000   -12.692400   -11.864000   -10.916600    -9.860440    -8.715220    -7.513740   -6.290230   -5.080270   -3.933760   -2.896210   -2.003810   -1.283000  -0.751016  -0.156992 -0.014632 -4.380460e-03
  -342.0         X  4.738850e-03  4.674040e-03  4.610110e-03  4.547070e-03  4.484900e-03     43.476600     41.897600     40.435800     39.081500    37.820400    36.640500    35.532200    34.487300    33.499200    32.562200    31.671400    30.822600    30.012400    29.237600    28.495500   -15.935600   -15.649000   -15.507300   -15.276800   -14.965500   -14.583600   -14.104000   -13.511600   -12.805300   -11.968800   -11.012200    -9.945890    -8.789810    -7.577100   -6.342320   -5.121460   -3.964880   -2.918480   -2.018730   -1.292210  -0.756202  -0.157989 -0.014719 -4.406270e-03
  -340.0         X  4.766760e-03  4.701560e-03  4.637260e-03  4.573840e-03  4.511300e-03     43.835700     42.241900     40.766400     39.399700    38.126900    36.936200    35.817800    34.763400    33.766400    32.821000    31.922200    31.066000    30.248600    29.467000    28.718300   -16.080500   -15.791100   -15.647900   -15.415100   -15.100800   -14.715100   -14.230800   -13.632600   -12.919300   -12.074600   -11.108800   -10.032200    -8.865170    -7.641080   -6.394930   -5.163050   -3.996280   -2.940940   -2.033760   -1.301490  -0.761425  -0.158992 -0.014807 -4.432210e-03
