Name:B X_Dim:120 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component         0         1         2         3         4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39        40        41        42        43
  -360.0         X  0.020959  0.020838  0.020717  0.020597  0.020478     4.905050     4.863350     4.821970     4.781110     4.740750     4.700890     4.661520     4.622630     4.584210     4.546250     4.508740     4.471680     4.435060     4.398870     4.363100  -0.558856  -0.556815  -0.555782  -0.554066  -0.551677  -0.548628  -0.544602  -0.539302  -0.532462  -0.523542  -0.512093  -0.497498  -0.479076  -0.456228  -0.428361  -0.394975  -0.356246  -0.312895  -0.266170  -0.217934 -0.171091 -0.084940 -0.030301 -0.018128
  -358.0         X  0.021173  0.021050  0.020928  0.020807  0.020687     4.958510     4.916340     4.874490     4.833160     4.792350     4.752040     4.712220     4.672890     4.634030     4.595650     4.557720     4.520240     4.483200     4.446600     4.410430  -0.565193  -0.563129  -0.562083  -0.560348  -0.557931  -0.554846  -0.550773  -0.545412  -0.538492  -0.529468  -0.517885  -0.503120  -0.484484  -0.461370  -0.433179  -0.399406  -0.360229  -0.316378  -0.269116  -0.220329 -0.172955 -0.085845 -0.030615 -0.018313
  -356.0         X  0.021390  0.021266  0.021143  0.021020  0.020898     5.012750     4.970100     4.927780     4.885980     4.844700     4.803940     4.763670     4.723890     4.684590     4.645770     4.607410     4.569510     4.532050     4.495040     4.458450  -0.571628  -0.569539  -0.568482  -0.566726  -0.564281  -0.561160  -0.557039  -0.551615  -0.544614  -0.535484  -0.523766  -0.508829  -0.489975  -0.466591  -0.438071  -0.403904  -0.364272  -0.319913  -0.272106  -0.222760 -0.174847 -0.086762 -0.030933 -0.018502
  -354.0         X  0.021610  0.021484  0.021360  0.021236  0.021113     5.067800     5.024660     4.981850     4.939580     4.897830     4.856600     4.815870     4.775640     4.735900     4.696630     4.657840     4.619500     4.581620     4.544180     4.507190  -0.578162  -0.576049  -0.574979  -0.573202  -0.570728  -0.567571  -0.563402  -0.557914  -0.550831  -0.541594  -0.529738  -0.514625  -0.495550  -0.471891  -0.443038  -0.408471  -0.368377  -0.323502  -0.275141  -0.225227 -0.176767 -0.087693 -0.031256 -0.018692
  -352.0         X  0.021832  0.021706  0.021580  0.021455  0.021330     5.123660     5.080030     5.036730     4.993980     4.951750     4.910050     4.868850     4.828160     4.787960     4.748250     4.709010     4.670240     4.631920     4.594060     4.556640  -0.584798  -0.582660  -0.581577  -0.579779  -0.577276  -0.574082  -0.569863  -0.564310  -0.557144  -0.547798  -0.535802  -0.520511  -0.501211  -0.477274  -0.448081  -0.413109  -0.372544  -0.327145  -0.278222  -0.227731 -0.178716 -0.088638 -0.031583 -0.018886
  -350.0         X  0.022058  0.021930  0.021803  0.021676  0.021551     5.180360     5.136230     5.092430     5.049180     5.006470     4.964290     4.922620     4.881460     4.840800     4.800630     4.760940     4.721730     4.682970     4.644680     4.606830  -0.591537  -0.589373  -0.588278  -0.586459  -0.583926  -0.580694  -0.576425  -0.570806  -0.563555  -0.554098  -0.541960  -0.526488  -0.506960  -0.482739  -0.453202  -0.417817  -0.376775  -0.330844  -0.281350  -0.230273 -0.180693 -0.089596 -0.031915 -0.019082
  -348.0         X  0.022287  0.022158  0.022029  0.021901  0.021774     5.237910     5.193270     5.148960     5.105220     5.062010     5.019340     4.977190     4.935560     4.894430     4.853800     4.813650     4.773980     4.734780     4.696050     4.657760  -0.598381  -0.596192  -0.595083  -0.593243  -0.590680  -0.587409  -0.583090  -0.577404  -0.570066  -0.560496  -0.548215  -0.532558  -0.512798  -0.488290  -0.458402  -0.422599  -0.381072  -0.334599  -0.284525  -0.232853 -0.182701 -0.090568 -0.032252 -0.019281
  -346.0         X  0.022519  0.022388  0.022259  0.022129  0.022001     5.296320     5.251160     5.206340     5.162090     5.118380     5.075220     5.032580     4.990470     4.948860     4.907760     4.867150     4.827020     4.787370     4.748190     4.709460  -0.605333  -0.603117  -0.601996  -0.600133  -0.597539  -0.594229  -0.589858  -0.584105  -0.576679  -0.566995  -0.554567  -0.538723  -0.518727  -0.493927  -0.463683  -0.427454  -0.385435  -0.338413  -0.287749  -0.235472 -0.184738 -0.091555 -0.032593 -0.019483
  -344.0         X  0.022754  0.022622  0.022491  0.022360  0.022231     5.355610     5.309930     5.264590     5.219820     5.175610     5.131940     5.088810     5.046200     5.004110     4.962530     4.921450     4.880860     4.840750     4.801110     4.761930  -0.612394  -0.610152  -0.609017  -0.607132  -0.604507  -0.601157  -0.596734  -0.590911  -0.583396  -0.573596  -0.561019  -0.544985  -0.524749  -0.499653  -0.469047  -0.432385  -0.389865  -0.342285  -0.291022  -0.238131 -0.186806 -0.092556 -0.032940 -0.019687
  -342.0         X  0.022993  0.022860  0.022727  0.022595  0.022464     5.415810     5.369590     5.323720     5.278420     5.233690     5.189520     5.145880     5.102780     5.060200     5.018130     4.976570     4.935510     4.894930     4.854830     4.815200  -0.619567  -0.617298  -0.616149  -0.614241  -0.611585  -0.608195  -0.603718  -0.597825  -0.590220  -0.580302  -0.567572  -0.551346  -0.530867  -0.505468  -0.474495  -0.437393  -0.394365  -0.346217  -0.294346  -0.240831 -0.188905 -0.093571 -0.033291 -0.019895
