Name:A X_Dim:600 Y_Dim:60 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35         36         37        38            39            40            41            42            43
  -360.0         X  3.562260e-21  3.199920e-21  2.874440e-21  2.582060e-21  2.319430e-21     5.728640     4.993810     4.381120     3.863550     3.420260     3.036650     2.702110     2.408620     2.149970     1.921200     1.718300     1.537930     1.377300     1.234040     1.106120    -4.919390    -4.705730    -4.602440    -4.437660    -4.221190    -3.964580    -3.655290    -3.291700    -2.882710    -2.430700    -1.955270    -1.478430    -1.029540   -0.643103   -0.346904   -0.152987  -0.051660  -0.012249 -0.001812 -1.431200e-04 -5.194910e-06 -1.055550e-10 -1.818780e-18 -1.575650e-22
  -358.0         X  3.604210e-21  3.237610e-21  2.908300e-21  2.612480e-21  2.346750e-21     5.793730     5.050550     4.430890     3.907450     3.459120     3.071160     2.732820     2.436000     2.174410     1.943050     1.737840     1.555420     1.392970     1.248080     1.118710    -4.975270    -4.759180    -4.654710    -4.488060    -4.269130    -4.009610    -3.696800    -3.329080    -2.915450    -2.458300    -1.977480    -1.495230    -1.041240   -0.650421   -0.350856   -0.154732  -0.052250  -0.012389 -0.001833 -1.447670e-04 -5.254880e-06 -1.067850e-10 -1.840250e-18 -1.594380e-22
  -356.0         X  3.646800e-21  3.275870e-21  2.942670e-21  2.643360e-21  2.374490e-21     5.859760     5.108100     4.481380     3.951970     3.498540     3.106160     2.763970     2.463770     2.199200     1.965200     1.757660     1.573170     1.408860     1.262320     1.131470    -5.031960    -4.813400    -4.707740    -4.539190    -4.317760    -4.055280    -3.738900    -3.367000    -2.948650    -2.486300    -2.000010    -1.512270    -1.053120   -0.657843   -0.354864   -0.156502  -0.052849  -0.012532 -0.001854 -1.464370e-04 -5.315710e-06 -1.080320e-10 -1.862050e-18 -1.613400e-22
  -354.0         X  3.690040e-21  3.314710e-21  2.977560e-21  2.674710e-21  2.402650e-21     5.926730     5.166470     4.532590     3.997140     3.538530     3.141670     2.795570     2.491940     2.224350     1.987680     1.777770     1.591160     1.424980     1.276770     1.144430    -5.089450    -4.868390    -4.761520    -4.591040    -4.367080    -4.101600    -3.781610    -3.405460    -2.982330    -2.514710    -2.022860    -1.529550    -1.065160   -0.665372   -0.358929   -0.158297  -0.053456  -0.012676 -0.001875 -1.481320e-04 -5.377440e-06 -1.092990e-10 -1.884170e-18 -1.632710e-22
  -352.0         X  3.733930e-21  3.354140e-21  3.012990e-21  2.706530e-21  2.431240e-21     5.994670     5.225690     4.584540     4.042950     3.579090     3.177680     2.827620     2.520510     2.249860     2.010480     1.798160     1.609420     1.441330     1.291420     1.157560    -5.147770    -4.924180    -4.816080    -4.643640    -4.417110    -4.148590    -3.824930    -3.444470    -3.016500    -2.543520    -2.046040    -1.547090    -1.077380   -0.673010   -0.363053   -0.160118  -0.054072  -0.012822 -0.001897 -1.498520e-04 -5.440080e-06 -1.105840e-10 -1.906640e-18 -1.652320e-22
  -350.0         X  3.778490e-21  3.394180e-21  3.048950e-21  2.738840e-21  2.460270e-21     6.063580     5.285760     4.637240     4.089420     3.620230     3.214210     2.860130     2.549490     2.275730     2.033600     1.818850     1.627940     1.457920     1.306290     1.170890    -5.206940    -4.980760    -4.871420    -4.697000    -4.467870    -4.196250    -3.868870    -3.484040    -3.051150    -2.572740    -2.069550    -1.564870    -1.089770   -0.680757   -0.367237   -0.161966  -0.054697  -0.012971 -0.001919 -1.515970e-04 -5.503640e-06 -1.118880e-10 -1.929450e-18 -1.672240e-22
  -348.0         X  3.823740e-21  3.434820e-21  3.085460e-21  2.771640e-21  2.489740e-21     6.133490     5.346690     4.690690     4.136560     3.661970     3.251270     2.893110     2.578900     2.301980     2.057070     1.839830     1.646730     1.474750     1.321370     1.184410    -5.266950    -5.038170    -4.927570    -4.751130    -4.519350    -4.244610    -3.913450    -3.524180    -3.086310    -2.602390    -2.093410    -1.582910    -1.102340   -0.688616   -0.371481   -0.163840  -0.055331  -0.013122 -0.001941 -1.533670e-04 -5.568130e-06 -1.132120e-10 -1.952610e-18 -1.692460e-22
  -346.0         X  3.869670e-21  3.476090e-21  3.122540e-21  2.804950e-21  2.519660e-21     6.204420     5.408510     4.744930     4.184390     3.704310     3.288870     2.926570     2.608730     2.328610     2.080870     1.861120     1.665780     1.491820     1.336670     1.198130    -5.327840    -5.096400    -4.984520    -4.806050    -4.571590    -4.293660    -3.958670    -3.564910    -3.121970    -2.632460    -2.117600    -1.601220    -1.115100   -0.696590   -0.375787   -0.165742  -0.055975  -0.013274 -0.001964 -1.551640e-04 -5.633580e-06 -1.145560e-10 -1.976130e-18 -1.713000e-22
  -344.0         X  3.916320e-21  3.517990e-21  3.160180e-21  2.838770e-21  2.550040e-21     6.276370     5.471220     4.799940     4.232910     3.747260     3.327010     2.960510     2.638990     2.355630     2.105010     1.882720     1.685120     1.509140     1.352190     1.212040    -5.389610    -5.155490    -5.042310    -4.861760    -4.624570    -4.343420    -4.004550    -3.606220    -3.158160    -2.662970    -2.142150    -1.619790    -1.128030   -0.704679   -0.380155   -0.167671  -0.056627  -0.013430 -0.001987 -1.569870e-04 -5.700000e-06 -1.159200e-10 -2.000010e-18 -1.733860e-22
  -342.0         X  3.963680e-21  3.560540e-21  3.198410e-21  2.873110e-21  2.580890e-21     6.349370     5.534850     4.855760     4.282130     3.790840     3.365710     2.994950     2.669690     2.383040     2.129510     1.904640     1.704740     1.526710     1.367940     1.226160    -5.452280    -5.215430    -5.100930    -4.918280    -4.678340    -4.393910    -4.051100    -3.648140    -3.194860    -2.693930    -2.167060    -1.638630    -1.141160   -0.712886   -0.384588   -0.169629  -0.057290  -0.013587 -0.002010 -1.588370e-04 -5.767410e-06 -1.173050e-10 -2.024260e-18 -1.755050e-22
