Name:B X_Dim:600 Y_Dim:120 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4             5             6             7             8             9            10            11            12            13            14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39          40          41         42         43
  -360.0         X   0.083299   0.082849   0.082400   0.081954   0.081511     15.875400     15.756400     15.638100     15.521200     15.405600     15.291300     15.178300     15.066500     14.956000     14.846700    14.738600    14.631600    14.525800    14.421200    14.317600    -1.584250    -1.578940    -1.576250    -1.571780    -1.565560    -1.557620    -1.547130    -1.533320    -1.515490    -1.492240    -1.462370    -1.424270    -1.376120    -1.316310   -1.243190   -1.155280   -1.052790   -0.937171   -0.811112   -0.678773   -0.547198   -0.292218  -0.114067  -0.070846
  -358.0         X   0.084171   0.083716   0.083263   0.082812   0.082364     16.041700     15.921400     15.801900     15.683800     15.567000     15.451500     15.337300     15.224300     15.112600     15.002200    14.892900    14.784800    14.677900    14.572100    14.467500    -1.600950    -1.595580    -1.592860    -1.588350    -1.582060    -1.574030    -1.563430    -1.549480    -1.531460    -1.507950    -1.477770    -1.439260    -1.390600    -1.330150   -1.256250   -1.167420   -1.063840   -0.946995   -0.819604   -0.685871   -0.552914   -0.295267  -0.115259  -0.071587
  -356.0         X   0.085055   0.084595   0.084137   0.083682   0.083229     16.210200     16.088600     15.967900     15.848500     15.730400     15.613700     15.498300     15.384100     15.271300     15.159700    15.049200    14.940000    14.832000    14.725100    14.619300    -1.617870    -1.612440    -1.609690    -1.605130    -1.598770    -1.590660    -1.579950    -1.565840    -1.547630    -1.523880    -1.493370    -1.454450    -1.405270    -1.344180   -1.269490   -1.179710   -1.075030   -0.956946   -0.828207   -0.693062   -0.558704   -0.298354  -0.116466  -0.072338
  -354.0         X   0.085950   0.085485   0.085022   0.084562   0.084105     16.380900     16.258000     16.135900     16.015300     15.896000     15.778000     15.661400     15.546100     15.432000     15.319200    15.207600    15.097200    14.988000    14.880000    14.773100    -1.635010    -1.629520    -1.626740    -1.622130    -1.615710    -1.607510    -1.596680    -1.582420    -1.564020    -1.540010    -1.509170    -1.469840    -1.420130    -1.358380   -1.282900   -1.192160   -1.086370   -0.967027   -0.836921   -0.700345   -0.564569   -0.301482  -0.117688  -0.073098
  -352.0         X   0.086856   0.086386   0.085919   0.085454   0.084992     16.553700     16.429600     16.306200     16.184300     16.063700     15.944500     15.826600     15.710100     15.594800     15.480800    15.368000    15.256500    15.146100    15.037000    14.928900    -1.652370    -1.646830    -1.644020    -1.639360    -1.632860    -1.624580    -1.613630    -1.599220    -1.580620    -1.556350    -1.525190    -1.485430    -1.435190    -1.372780   -1.296490   -1.204780   -1.097850   -0.977240   -0.845749   -0.707722   -0.570509   -0.304650  -0.118926  -0.073868
  -350.0         X   0.087774   0.087300   0.086827   0.086358   0.085890     16.728900     16.603400     16.478700     16.355400     16.233600     16.113100     15.994000     15.876200     15.759700     15.644500    15.530500    15.417800    15.306300    15.195900    15.086800    -1.669960    -1.664360    -1.661520    -1.656810    -1.650250    -1.641870    -1.630810    -1.616240    -1.597440    -1.572910    -1.541410    -1.501220    -1.450440    -1.387360   -1.310260   -1.217560   -1.109490   -0.987585   -0.854691   -0.715196   -0.576527   -0.307859  -0.120180  -0.074648
  -348.0         X   0.088705   0.088225   0.087747   0.087273   0.086801     16.906300     16.779400     16.653400     16.528900     16.405700     16.284000     16.163600     16.044500     15.926800     15.810300    15.695100    15.581200    15.468500    15.357000    15.246700    -1.687790    -1.682120    -1.679250    -1.674490    -1.667860    -1.659390    -1.648210    -1.633490    -1.614480    -1.589690    -1.557850    -1.517230    -1.465900    -1.402140   -1.324200   -1.230510   -1.121270   -0.998066   -0.863750   -0.722767   -0.582623   -0.311109  -0.121451  -0.075438
  -346.0         X   0.089647   0.089162   0.088679   0.088200   0.087723     17.086000     16.957800     16.830500     16.704600     16.580100     16.457000     16.335300     16.215000     16.096000     15.978300    15.861900    15.746700    15.632800    15.520100    15.408600    -1.705850    -1.700120    -1.697220    -1.692410    -1.685700    -1.677150    -1.665840    -1.650960    -1.631750    -1.606690    -1.574500    -1.533440    -1.481560    -1.417110   -1.338330   -1.243630   -1.133220   -1.008680   -0.872928   -0.730436   -0.588798   -0.314402  -0.122738  -0.076239
  -344.0         X   0.090601   0.090111   0.089624   0.089139   0.088657     17.268100     17.138500     17.009800     16.882500     16.756700     16.632400     16.509400     16.387700     16.267500     16.148500    16.030800    15.914500    15.799300    15.685400    15.572700    -1.724150    -1.718360    -1.715430    -1.710560    -1.703790    -1.695140    -1.683710    -1.668670    -1.649250    -1.623910    -1.591380    -1.549870    -1.497430    -1.432280   -1.352650   -1.256920   -1.145320   -1.019440   -0.882225   -0.738206   -0.595053   -0.317737  -0.124042  -0.077050
  -342.0         X   0.091568   0.091073   0.090580   0.090090   0.089603     17.452600     17.321600     17.191500     17.062900     16.935700     16.810000     16.685700     16.562700     16.441200     16.320900    16.202000    16.084400    15.968000    15.852900    15.739000    -1.742690    -1.736840    -1.733880    -1.728960    -1.722110    -1.713360    -1.701810    -1.686610    -1.666980    -1.641360    -1.608480    -1.566520    -1.513500    -1.447650   -1.367150   -1.270390   -1.157580   -1.030340   -0.891645   -0.746077   -0.601390   -0.321116  -0.125362  -0.077871
