Name:A X_Dim:200 Y_Dim:600 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32          33          34          35          36         37         38        39        40            41            42            43
  -360.0         X  3.278860e-07  3.173600e-07  3.071730e-07  2.973130e-07  2.877710e-07    10.907200    10.263500     9.677650     9.144020     8.655340     8.205660     7.790140     7.404750     7.046110     6.711400     6.398200     6.104460     5.828400     5.568460     5.323300    -5.932490    -5.796170    -5.728850    -5.619510    -5.472160    -5.291910    -5.066340    -4.789100    -4.460700    -4.075320    -3.640020    -3.162940    -2.657700   -2.144710   -1.645650   -1.182960   -0.783037  -0.465906  -0.240671 -0.103005 -0.034950 -1.144440e-03 -4.620250e-06 -2.669640e-07
  -358.0         X  3.304080e-07  3.198000e-07  3.095340e-07  2.995980e-07  2.899820e-07    11.020800    10.370000     9.777710     9.238240     8.744220     8.289660     7.869640     7.480090     7.117600     6.779310     6.462770     6.165910     5.886920     5.624240     5.376500    -5.996680    -5.858800    -5.790720    -5.680140    -5.531120    -5.348820    -5.120700    -4.840340    -4.508240    -4.118540    -3.678390    -3.196030    -2.685250   -2.166690   -1.662300   -1.194740   -0.790696  -0.470371  -0.242925 -0.103946 -0.035261 -1.154000e-03 -4.656530e-06 -2.690130e-07
  -356.0         X  3.329540e-07  3.222640e-07  3.119190e-07  3.019050e-07  2.922140e-07    11.136100    10.478000     9.879160     9.333760     8.834330     8.374810     7.950230     7.556470     7.190070     6.848140     6.528220     6.228190     5.946230     5.680760     5.430410    -6.061800    -5.922350    -5.853490    -5.741640    -5.590930    -5.406560    -5.175840    -4.892310    -4.556460    -4.162370    -3.717310    -3.229590    -2.713180   -2.188980   -1.679170   -1.206680   -0.798454  -0.474892  -0.245206 -0.104898 -0.035575 -1.163670e-03 -4.693170e-06 -2.710810e-07
  -354.0         X  3.355250e-07  3.247520e-07  3.143260e-07  3.042350e-07  2.944680e-07    11.252900    10.587500     9.982030     9.430600     8.925680     8.461140     8.031930     7.633880     7.263520     6.917910     6.594550     6.291310     6.006340     5.738050     5.485040    -6.127860    -5.986820    -5.917170    -5.804050    -5.651600    -5.465130    -5.231790    -4.945020    -4.605370    -4.206840    -3.756770    -3.263610    -2.741500   -2.211580   -1.696270   -1.218770   -0.806314  -0.479470  -0.247516 -0.105861 -0.035893 -1.173440e-03 -4.730180e-06 -2.731700e-07
  -352.0         X  3.381200e-07  3.272640e-07  3.167560e-07  3.065870e-07  2.967440e-07    11.371400    10.698500    10.086300     9.528790     9.018300     8.548650     8.114750     7.712360     7.337980     6.988630     6.661780     6.355280     6.067260     5.796110     5.540400    -6.194900    -6.052230    -5.981780    -5.867360    -5.713170    -5.524560    -5.288550    -4.998510    -4.654990    -4.251940    -3.796800    -3.298120    -2.770220   -2.234480   -1.713610   -1.231030   -0.814276  -0.484107  -0.249855 -0.106836 -0.036215 -1.183320e-03 -4.767560e-06 -2.752780e-07
  -350.0         X  3.407410e-07  3.298000e-07  3.192110e-07  3.089620e-07  2.990420e-07    11.491500    10.811100    10.192100     9.628350     9.112210     8.637380     8.198710     7.791920     7.413460     7.060310     6.729930     6.420120     6.129010     5.854950     5.596510    -6.262920    -6.118610    -6.047340    -5.931600    -5.775630    -5.584850    -5.346130    -5.052770    -4.705320    -4.297690    -3.837400    -3.333120    -2.799340   -2.257710   -1.731180   -1.243450   -0.822343  -0.488804  -0.252222 -0.107822 -0.036540 -1.193300e-03 -4.805310e-06 -2.774080e-07
  -348.0         X  3.433880e-07  3.323610e-07  3.216890e-07  3.113590e-07  3.013630e-07    11.613400    10.925300    10.299300     9.729310     9.207430     8.727340     8.283840     7.872580     7.489980     7.132980     6.799010     6.485850     6.191590     5.914590     5.653380    -6.331950    -6.185960    -6.113870    -5.996790    -5.839020    -5.646030    -5.404560    -5.107820    -4.756390    -4.344100    -3.878580    -3.368610    -2.828870   -2.281250   -1.748990   -1.256050   -0.830517  -0.493561  -0.254620 -0.108821 -0.036869 -1.203400e-03 -4.843440e-06 -2.795570e-07
  -346.0         X  3.460600e-07  3.349470e-07  3.241910e-07  3.137810e-07  3.037050e-07    11.737000    11.041100    10.408100     9.831680     9.303980     8.818560     8.370150     7.954360     7.567550     7.206650     6.869040     6.552480     6.255030     5.975040     5.711020    -6.402000    -6.254310    -6.181380    -6.062940    -5.903340    -5.708110    -5.463840    -5.163680    -4.808200    -4.391180    -3.920360    -3.404620    -2.858810   -2.305130   -1.767050   -1.268810   -0.838798  -0.498379  -0.257047 -0.109832 -0.037202 -1.213600e-03 -4.881950e-06 -2.817280e-07
  -344.0         X  3.487580e-07  3.375580e-07  3.267170e-07  3.162250e-07  3.060710e-07    11.862300    11.158600    10.518400     9.935500     9.401890     8.911060     8.457660     8.037270     7.646200     7.281340     6.940030     6.620020     6.319340     6.036310     5.769450    -6.473090    -6.323680    -6.249900    -6.130070    -5.968610    -5.771110    -5.524000    -5.220350    -4.860770    -4.438950    -3.962730    -3.441130    -2.889190   -2.329340   -1.785350   -1.281740   -0.847189  -0.503259  -0.259505 -0.110855 -0.037539 -1.223920e-03 -4.920840e-06 -2.839200e-07
  -342.0         X  3.514830e-07  3.401940e-07  3.292680e-07  3.186940e-07  3.084600e-07    11.989500    11.277700    10.630300    10.040800     9.501180     9.004850     8.546400     8.121340     7.725950     7.357060     7.012000     6.688490     6.384530     6.098430     5.828670    -6.545250    -6.394080    -6.319430    -6.198200    -6.034850    -5.835040    -5.585050    -5.277870    -4.914110    -4.487420    -4.005730    -3.478180    -2.919990   -2.353880   -1.803910   -1.294850   -0.855691  -0.508203  -0.261994 -0.111890 -0.037880 -1.234340e-03 -4.960130e-06 -2.861330e-07
