Name:B X_Dim:30 Y_Dim:600 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4          5          6          7          8          9         10         11         12         13         14         15         16         17         18         19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36            37        38        39        40            41            42            43
  -360.0         X  3.154120e-06  3.086840e-06  3.021000e-06  2.956570e-06  2.893510e-06   0.395820   0.384565   0.373721   0.363315   0.353318   0.343705   0.334454   0.325542   0.316950   0.308661   0.300657   0.292925   0.285450   0.278219   0.271220 -0.132638 -0.131188 -0.130461 -0.129263 -0.127614 -0.125544 -0.122865 -0.119431 -0.115148 -0.109800 -0.103299 -0.095549 -0.086530 -0.076366 -0.065262 -0.053514 -0.041657 -3.031860e-02 -0.020175 -0.011900 -0.006032 -6.744910e-04 -1.835520e-05 -2.797960e-06
  -358.0         X  3.189600e-06  3.121570e-06  3.054980e-06  2.989820e-06  2.926050e-06   0.400373   0.388989   0.378020   0.367493   0.357381   0.347658   0.338299   0.329284   0.320594   0.312209   0.304113   0.296292   0.288730   0.281416   0.274336 -0.134168 -0.132701 -0.131965 -0.130753 -0.129086 -0.126991 -0.124281 -0.120808 -0.116476 -0.111066 -0.104490 -0.096651 -0.087528 -0.077246 -0.066014 -0.054130 -0.042136 -3.066680e-02 -0.020406 -0.012036 -0.006100 -6.821370e-04 -1.856210e-05 -2.829430e-06
  -356.0         X  3.225620e-06  3.156820e-06  3.089480e-06  3.023590e-06  2.959100e-06   0.404997   0.393481   0.382385   0.371737   0.361508   0.351672   0.342205   0.333086   0.324294   0.315812   0.307623   0.299711   0.292062   0.284663   0.277501 -0.135721 -0.134237 -0.133493 -0.132267 -0.130580 -0.128462 -0.125720 -0.122207 -0.117825 -0.112352 -0.105700 -0.097770 -0.088541 -0.078140 -0.066777 -0.054756 -0.042622 -3.102040e-02 -0.020641 -0.012174 -0.006170 -6.899010e-04 -1.877210e-05 -2.861380e-06
  -354.0         X  3.262190e-06  3.192600e-06  3.124510e-06  3.057860e-06  2.992640e-06   0.409693   0.398044   0.386819   0.376047   0.365699   0.355748   0.346172   0.336946   0.328053   0.319472   0.311188   0.303184   0.295446   0.287961   0.280716 -0.137299 -0.135798 -0.135045 -0.133805 -0.132098 -0.129955 -0.127182 -0.123628 -0.119194 -0.113658 -0.106929 -0.098906 -0.089570 -0.079048 -0.067553 -0.055391 -0.043117 -3.137960e-02 -0.020880 -0.012314 -0.006241 -6.977840e-04 -1.898530e-05 -2.893810e-06
  -352.0         X  3.299310e-06  3.228940e-06  3.160070e-06  3.092660e-06  3.026700e-06   0.414464   0.402679   0.391323   0.380425   0.369956   0.359889   0.350201   0.340868   0.331870   0.323190   0.314808   0.306711   0.298883   0.291310   0.283981 -0.138901 -0.137383 -0.136621 -0.135366 -0.133640 -0.131472 -0.128667 -0.125071 -0.120586 -0.114985 -0.108177 -0.100061 -0.090616 -0.079970 -0.068341 -0.056037 -0.043619 -3.174440e-02 -0.021122 -0.012457 -0.006313 -7.057890e-04 -1.920180e-05 -2.926740e-06
  -350.0         X  3.337010e-06  3.265830e-06  3.196170e-06  3.128000e-06  3.061280e-06   0.419310   0.407386   0.395898   0.384872   0.374281   0.364096   0.354294   0.344851   0.335748   0.326966   0.318486   0.310294   0.302374   0.294713   0.287297 -0.140529 -0.138993 -0.138223 -0.136953 -0.135207 -0.133013 -0.130175 -0.126537 -0.121999 -0.116333 -0.109445 -0.101234 -0.091678 -0.080907 -0.069141 -0.056693 -0.044129 -3.211500e-02 -0.021368 -0.012602 -0.006386 -7.139190e-04 -1.942160e-05 -2.960180e-06
  -348.0         X  3.375290e-06  3.303300e-06  3.232830e-06  3.163880e-06  3.096390e-06   0.424233   0.412169   0.400545   0.389390   0.378674   0.368369   0.358452   0.348898   0.339688   0.330802   0.322223   0.313934   0.305921   0.298169   0.290667 -0.142184 -0.140629 -0.139850 -0.138565 -0.136798 -0.134579 -0.131707 -0.128026 -0.123435 -0.117702 -0.110733 -0.102425 -0.092757 -0.081859 -0.069954 -0.057359 -0.044646 -3.249140e-02 -0.021618 -0.012749 -0.006461 -7.221760e-04 -1.964480e-05 -2.994130e-06
  -346.0         X  3.414170e-06  3.341340e-06  3.270070e-06  3.200310e-06  3.132050e-06   0.429234   0.417028   0.405267   0.393980   0.383137   0.372710   0.362676   0.353009   0.343690   0.334699   0.326019   0.317632   0.309524   0.301681   0.294089 -0.143864 -0.142291 -0.141502 -0.140203 -0.138415 -0.136169 -0.133264 -0.129540 -0.124894 -0.119093 -0.112042 -0.103636 -0.093853 -0.082826 -0.070780 -0.058036 -0.045173 -3.287390e-02 -0.021872 -0.012898 -0.006536 -7.305610e-04 -1.987150e-05 -3.028610e-06
  -344.0         X  3.453650e-06  3.379970e-06  3.307880e-06  3.237320e-06  3.168260e-06   0.434316   0.421965   0.410064   0.398643   0.387671   0.377121   0.366967   0.357186   0.347757   0.338659   0.329875   0.321389   0.313185   0.305248   0.297567 -0.145571 -0.143980 -0.143182 -0.141867 -0.140058 -0.137786 -0.134846 -0.131077 -0.126377 -0.120507 -0.113372 -0.104866 -0.094967 -0.083809 -0.071620 -0.058723 -0.045707 -3.326240e-02 -0.022130 -0.013050 -0.006613 -7.390790e-04 -2.010170e-05 -3.063620e-06
  -342.0         X  3.493740e-06  3.419210e-06  3.346280e-06  3.274900e-06  3.205040e-06   0.439479   0.426981   0.414938   0.403381   0.392279   0.381603   0.371328   0.361430   0.351888   0.342682   0.333794   0.325206   0.316904   0.308873   0.301100 -0.147306 -0.145696 -0.144888 -0.143558 -0.141727 -0.139428 -0.136453 -0.132640 -0.127883 -0.121943 -0.114723 -0.106116 -0.096098 -0.084808 -0.072472 -0.059422 -0.046251 -3.365720e-02 -0.022392 -0.013204 -0.006691 -7.477310e-04 -2.033560e-05 -3.099180e-06
