Name:A X_Dim:150 Y_Dim:5 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component              0              1              2              3              4           5          6          7             8             9            10            11            12            13            14            15            16            17            18            19          20          21          22          23          24         25         26            27            28            29            30            31            32            33            34            35            36            37            38            39            40             41             42             43
  -360.0         X  3.301520e-173  9.185040e-174  2.555520e-174  7.110670e-175  1.978660e-175    0.013562   0.003607   0.000987  2.709000e-04  7.442400e-05  2.045100e-05  5.620560e-06  1.544890e-06  4.246770e-07  1.167500e-07  3.209870e-08  8.825620e-09  2.426770e-09  6.673180e-10  1.835090e-10   -0.019430   -0.012740   -0.010376   -0.007423   -0.004683  -0.002606  -0.001198 -4.258270e-04 -1.096550e-04 -1.797290e-05 -1.647940e-06 -6.965390e-08 -1.048510e-09 -4.071610e-12 -2.596880e-15 -1.427430e-19 -3.119540e-25 -9.666100e-33 -1.029580e-42 -5.835860e-56 -2.926680e-73 -1.562560e-129 -4.729610e-222 -3.027620e-270
  -358.0         X  3.347030e-173  9.311640e-174  2.590740e-174  7.208650e-175  2.005920e-175    0.013755   0.003659   0.001001  2.747710e-04  7.548770e-05  2.074320e-05  5.700890e-06  1.566970e-06  4.307460e-07  1.184180e-07  3.255740e-08  8.951740e-09  2.461450e-09  6.768540e-10  1.861310e-10   -0.019708   -0.012922   -0.010524   -0.007529   -0.004750  -0.002643  -0.001215 -4.319120e-04 -1.112220e-04 -1.822970e-05 -1.671490e-06 -7.064930e-08 -1.063500e-09 -4.129790e-12 -2.633980e-15 -1.447810e-19 -3.164080e-25 -9.804010e-33 -1.044250e-42 -5.918890e-56 -2.968190e-73 -1.584370e-129 -4.794030e-222 -3.068750e-270
  -356.0         X  3.393370e-173  9.440530e-174  2.626600e-174  7.308390e-175  2.033670e-175    0.013953   0.003711   0.001015  2.787160e-04  7.657140e-05  2.104100e-05  5.782730e-06  1.589460e-06  4.369300e-07  1.201190e-07  3.302480e-08  9.080250e-09  2.496780e-09  6.865700e-10  1.888030e-10   -0.019991   -0.013107   -0.010675   -0.007637   -0.004818  -0.002681  -0.001232 -4.381130e-04 -1.128190e-04 -1.849150e-05 -1.695480e-06 -7.166360e-08 -1.078760e-09 -4.189070e-12 -2.671780e-15 -1.468590e-19 -3.209460e-25 -9.944520e-33 -1.059200e-42 -6.003490e-56 -3.010490e-73 -1.606590e-129 -4.859590e-222 -3.110610e-270
  -354.0         X  3.440540e-173  9.571760e-174  2.663100e-174  7.409940e-175  2.061930e-175    0.014154   0.003765   0.001030  2.827350e-04  7.767570e-05  2.134450e-05  5.866130e-06  1.612390e-06  4.432310e-07  1.218510e-07  3.350100e-08  9.211200e-09  2.532790e-09  6.964710e-10  1.915260e-10   -0.020279   -0.013296   -0.010829   -0.007747   -0.004887  -0.002720  -0.001250 -4.444310e-04 -1.144460e-04 -1.875810e-05 -1.719940e-06 -7.269710e-08 -1.094320e-09 -4.249480e-12 -2.710300e-15 -1.489750e-19 -3.255690e-25 -1.008770e-32 -1.074430e-42 -6.089680e-56 -3.053580e-73 -1.629210e-129 -4.926320e-222 -3.153200e-270
  -352.0         X  3.488580e-173  9.705370e-174  2.700270e-174  7.513330e-175  2.090690e-175    0.014359   0.003819   0.001045  2.868310e-04  7.880100e-05  2.165370e-05  5.951120e-06  1.635750e-06  4.496530e-07  1.236160e-07  3.398640e-08  9.344640e-09  2.569480e-09  7.065610e-10  1.943010e-10   -0.020573   -0.013489   -0.010986   -0.007860   -0.004958  -0.002759  -0.001268 -4.508700e-04 -1.161040e-04 -1.902990e-05 -1.744850e-06 -7.375030e-08 -1.110170e-09 -4.311030e-12 -2.749550e-15 -1.511320e-19 -3.302810e-25 -1.023360e-32 -1.089960e-42 -6.177500e-56 -3.097490e-73 -1.652250e-129 -4.994240e-222 -3.196560e-270
  -350.0         X  3.537490e-173  9.841410e-174  2.738110e-174  7.618610e-175  2.119980e-175    0.014568   0.003875   0.001060  2.910060e-04  7.994800e-05  2.196890e-05  6.037730e-06  1.659560e-06  4.561970e-07  1.254150e-07  3.448100e-08  9.480650e-09  2.606880e-09  7.168440e-10  1.971280e-10   -0.020872   -0.013685   -0.011146   -0.007974   -0.005030  -0.002800  -0.001287 -4.574320e-04 -1.177940e-04 -1.930690e-05 -1.770250e-06 -7.482370e-08 -1.126330e-09 -4.373770e-12 -2.789560e-15 -1.533310e-19 -3.350830e-25 -1.038230e-32 -1.105780e-42 -6.267000e-56 -3.142230e-73 -1.675730e-129 -5.063370e-222 -3.240690e-270
  -348.0         X  3.587300e-173  9.979950e-174  2.776650e-174  7.725820e-175  2.149810e-175    0.014781   0.003931   0.001075  2.952610e-04  8.111700e-05  2.229010e-05  6.126020e-06  1.683820e-06  4.628680e-07  1.272490e-07  3.498520e-08  9.619270e-09  2.644990e-09  7.273250e-10  2.000100e-10   -0.021177   -0.013885   -0.011309   -0.008090   -0.005104  -0.002841  -0.001306 -4.641200e-04 -1.195160e-04 -1.958920e-05 -1.796140e-06 -7.591770e-08 -1.142800e-09 -4.437710e-12 -2.830330e-15 -1.555710e-19 -3.399780e-25 -1.053380e-32 -1.121900e-42 -6.358210e-56 -3.187820e-73 -1.699630e-129 -5.133750e-222 -3.285610e-270
  -346.0         X  3.638020e-173  1.012100e-173  2.815890e-174  7.835000e-175  2.180180e-175    0.014998   0.003989   0.001091  2.995980e-04  8.230850e-05  2.261760e-05  6.216010e-06  1.708560e-06  4.696670e-07  1.291180e-07  3.549910e-08  9.760570e-09  2.683840e-09  7.380080e-10  2.029480e-10   -0.021489   -0.014089   -0.011475   -0.008209   -0.005179  -0.002882  -0.001325 -4.709380e-04 -1.212720e-04 -1.987700e-05 -1.822520e-06 -7.703290e-08 -1.159580e-09 -4.502890e-12 -2.871900e-15 -1.578550e-19 -3.449670e-25 -1.068830e-32 -1.138330e-42 -6.451180e-56 -3.234290e-73 -1.723990e-129 -5.205400e-222 -3.331330e-270
  -344.0         X  3.689680e-173  1.026470e-173  2.855860e-174  7.946190e-175  2.211120e-175    0.015219   0.004048   0.001107  3.040200e-04  8.352330e-05  2.295140e-05  6.307750e-06  1.733770e-06  4.765990e-07  1.310240e-07  3.602300e-08  9.904610e-09  2.723450e-09  7.488990e-10  2.059430e-10   -0.021806   -0.014297   -0.011644   -0.008330   -0.005255  -0.002925  -0.001344 -4.778880e-04 -1.230620e-04 -2.017030e-05 -1.849420e-06 -7.816980e-08 -1.176700e-09 -4.569330e-12 -2.914270e-15 -1.601830e-19 -3.500530e-25 -1.084580e-32 -1.155080e-42 -6.545940e-56 -3.281650e-73 -1.748810e-129 -5.278350e-222 -3.377880e-270
  -342.0         X  3.742300e-173  1.041110e-173  2.896570e-174  8.059440e-175  2.242620e-175    0.015445   0.004108   0.001124  3.085270e-04  8.476170e-05  2.329170e-05  6.401280e-06  1.759480e-06  4.836650e-07  1.329670e-07  3.655710e-08  1.005150e-08  2.763830e-09  7.600020e-10  2.089960e-10   -0.022129   -0.014509   -0.011817   -0.008454   -0.005333  -0.002968  -0.001364 -4.849730e-04 -1.248860e-04 -2.046940e-05 -1.876840e-06 -7.932880e-08 -1.194140e-09 -4.637070e-12 -2.957460e-15 -1.625570e-19 -3.552370e-25 -1.100630e-32 -1.172160e-42 -6.642540e-56 -3.329930e-73 -1.774090e-129 -5.352630e-222 -3.425280e-270
