Name:A X_Dim:150 Y_Dim:15 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6           7           8           9          10          11         12         13         14         15         16        17            18            19           20           21           22           23           24           25           26          27          28          29          30         31        32            33            34            35            36            37            38            39            40            41            42            43
  -360.0         X  4.459920e-64  2.905990e-64  1.893490e-64  1.233770e-64  8.039040e-65     0.176993     0.108580    0.068751    0.044128    0.028498    0.018460    0.011975   0.007775   0.005051   0.003282   0.002133   0.001387  0.000902  5.861810e-04  3.811780e-04    -0.202119    -0.172646    -0.159851    -0.141099    -0.119151    -0.096518    -0.073433   -0.051408   -0.032429   -0.017649   -0.007933  -0.002758 -0.000680 -1.069720e-04 -9.224420e-06 -3.521340e-07 -4.602100e-09 -1.461700e-11 -7.043610e-15 -2.767530e-19 -4.870610e-25 -8.773020e-44 -8.778860e-75 -5.391660e-91
  -358.0         X  4.522500e-64  2.946770e-64  1.920060e-64  1.251080e-64  8.151830e-65     0.179486     0.110109    0.069720    0.044749    0.028900    0.018720    0.012144   0.007885   0.005122   0.003328   0.002163   0.001406  0.000914  5.944450e-04  3.865520e-04    -0.204966    -0.175078    -0.162103    -0.143086    -0.120830    -0.097878    -0.074468   -0.052132   -0.032886   -0.017898   -0.008044  -0.002797 -0.000690 -1.084810e-04 -9.354500e-06 -3.571010e-07 -4.667010e-09 -1.482320e-11 -7.142970e-15 -2.806570e-19 -4.939280e-25 -8.896420e-44 -8.901310e-75 -5.466270e-91
  -356.0         X  4.586250e-64  2.988310e-64  1.947120e-64  1.268710e-64  8.266710e-65     0.182025     0.111667    0.070706    0.045383    0.029309    0.018985    0.012316   0.007997   0.005195   0.003375   0.002194   0.001426  0.000927  6.028630e-04  3.920260e-04    -0.207866    -0.177554    -0.164396    -0.145110    -0.122539    -0.099263    -0.075521   -0.052870   -0.033351   -0.018151   -0.008158  -0.002837 -0.000700 -1.100170e-04 -9.487010e-06 -3.621600e-07 -4.733140e-09 -1.503320e-11 -7.244180e-15 -2.846330e-19 -5.009230e-25 -9.022130e-44 -9.026020e-75 -5.542250e-91
  -354.0         X  4.651190e-64  3.030620e-64  1.974690e-64  1.286670e-64  8.383750e-65     0.184612     0.113254    0.071711    0.046028    0.029725    0.019255    0.012491   0.008110   0.005268   0.003423   0.002225   0.001446  0.000940  6.114390e-04  3.976030e-04    -0.210820    -0.180078    -0.166732    -0.147173    -0.124281    -0.100673    -0.076595   -0.053621   -0.033825   -0.018409   -0.008274  -0.002877 -0.000710 -1.115820e-04 -9.622000e-06 -3.673140e-07 -4.800500e-09 -1.524720e-11 -7.347280e-15 -2.886830e-19 -5.080490e-25 -9.150190e-44 -9.153050e-75 -5.619620e-91
  -352.0         X  4.717350e-64  3.073720e-64  2.002780e-64  1.304970e-64  8.502980e-65     0.187247     0.114871    0.072735    0.046685    0.030150    0.019530    0.012670   0.008226   0.005344   0.003472   0.002257   0.001467  0.000954  6.201760e-04  4.032840e-04    -0.213829    -0.182648    -0.169112    -0.149274    -0.126055    -0.102111    -0.077688   -0.054387   -0.034308   -0.018672   -0.008392  -0.002918 -0.000720 -1.131770e-04 -9.759530e-06 -3.725650e-07 -4.869140e-09 -1.546520e-11 -7.452340e-15 -2.928100e-19 -5.153100e-25 -9.280650e-44 -9.282460e-75 -5.698430e-91
  -350.0         X  4.784750e-64  3.117640e-64  2.031390e-64  1.323620e-64  8.624460e-65     0.189933     0.116518    0.073778    0.047355    0.030582    0.019810    0.012851   0.008344   0.005420   0.003522   0.002289   0.001488  0.000967  6.290780e-04  4.090730e-04    -0.216895    -0.185267    -0.171537    -0.151414    -0.127863    -0.103575    -0.078802   -0.055167   -0.034800   -0.018940   -0.008513  -0.002960 -0.000730 -1.148020e-04 -9.899660e-06 -3.779150e-07 -4.939070e-09 -1.568740e-11 -7.559370e-15 -2.970150e-19 -5.227070e-25 -9.413580e-44 -9.414290e-75 -5.778710e-91
  -348.0         X  4.853440e-64  3.162390e-64  2.060550e-64  1.342610e-64  8.748230e-65     0.192668     0.118197    0.074841    0.048037    0.031023    0.020095    0.013037   0.008464   0.005499   0.003573   0.002322   0.001510  0.000981  6.381490e-04  4.149720e-04    -0.220019    -0.187936    -0.174008    -0.153595    -0.129705    -0.105067    -0.079938   -0.055962   -0.035302   -0.019213   -0.008636  -0.003003 -0.000741 -1.164570e-04 -1.004250e-05 -3.833670e-07 -5.010330e-09 -1.591370e-11 -7.668440e-15 -3.013000e-19 -5.302460e-25 -9.549040e-44 -9.548600e-75 -5.860490e-91
  -346.0         X  4.923430e-64  3.207990e-64  2.090260e-64  1.361970e-64  8.874360e-65     0.195456     0.119908    0.075925    0.048733    0.031472    0.020386    0.013225   0.008587   0.005578   0.003625   0.002356   0.001531  0.000996  6.473930e-04  4.209830e-04    -0.223203    -0.190656    -0.176526    -0.155818    -0.131582    -0.106588    -0.081095   -0.056772   -0.035813   -0.019491   -0.008761  -0.003046 -0.000751 -1.181440e-04 -1.018800e-05 -3.889220e-07 -5.082950e-09 -1.614440e-11 -7.779600e-15 -3.056670e-19 -5.379280e-25 -9.687070e-44 -9.685450e-75 -5.943800e-91
  -344.0         X  4.994750e-64  3.254470e-64  2.120540e-64  1.381700e-64  9.002910e-65     0.198298     0.121651    0.077029    0.049441    0.031930    0.020683    0.013418   0.008712   0.005659   0.003677   0.002390   0.001554  0.001010  6.568130e-04  4.271100e-04    -0.226448    -0.193427    -0.179092    -0.158083    -0.133495    -0.108138    -0.082274   -0.057598   -0.036334   -0.019775   -0.008888  -0.003090 -0.000762 -1.198640e-04 -1.033630e-05 -3.945850e-07 -5.156960e-09 -1.637950e-11 -7.892880e-15 -3.101170e-19 -5.457570e-25 -9.827750e-44 -9.824900e-75 -6.028680e-91
  -342.0         X  5.067450e-64  3.301830e-64  2.151400e-64  1.401810e-64  9.133920e-65     0.201193     0.123428    0.078154    0.050163    0.032397    0.020985    0.013614   0.008839   0.005742   0.003731   0.002425   0.001576  0.001025  6.664150e-04  4.333540e-04    -0.229754    -0.196252    -0.181708    -0.160392    -0.135444    -0.109717    -0.083476   -0.058439   -0.036865   -0.020064   -0.009018  -0.003136 -0.000774 -1.216160e-04 -1.048740e-05 -4.003560e-07 -5.232390e-09 -1.661910e-11 -8.008350e-15 -3.146540e-19 -5.537380e-25 -9.971130e-44 -9.967010e-75 -6.115160e-91
