Name:A X_Dim:150 Y_Dim:30 Conductance:100.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component             0             1             2             3             4            5            6            7            8            9          10          11          12          13          14          15          16          17          18          19           20           21           22           23           24           25           26           27           28          29          30          31          32         33         34        35            36            37            38            39            40            41            42            43
  -360.0         X  2.401330e-36  1.940300e-36  1.567790e-36  1.266800e-36  1.023590e-36     0.676099     0.518035     0.404022     0.318592     0.252931    0.201681    0.161286    0.129243    0.103713    0.083311    0.066972    0.053868    0.043346    0.034891    0.028092    -0.702364    -0.645230    -0.618715    -0.577800    -0.526464    -0.468887    -0.403854    -0.333135    -0.260749   -0.189685   -0.125635   -0.073365   -0.036166  -0.014254  -0.004164 -0.000810 -9.235880e-05 -5.202690e-06 -1.145760e-07 -7.245990e-10 -9.778720e-13 -4.501670e-22 -1.679380e-37 -1.433450e-45
  -358.0         X  2.434640e-36  1.967220e-36  1.589540e-36  1.284370e-36  1.037790e-36     0.685419     0.525177     0.409593     0.322985     0.256419    0.204462    0.163511    0.131026    0.105143    0.084460    0.067896    0.054611    0.043944    0.035372    0.028480    -0.712046    -0.654125    -0.627244    -0.585765    -0.533721    -0.475352    -0.409422    -0.337728    -0.264345   -0.192301   -0.127368   -0.074377   -0.036665  -0.014450  -0.004222 -0.000821 -9.363530e-05 -5.274630e-06 -1.161610e-07 -7.346290e-10 -9.914150e-13 -4.564080e-22 -1.702680e-37 -1.453340e-45
  -356.0         X  2.468550e-36  1.994620e-36  1.611680e-36  1.302260e-36  1.052250e-36     0.694909     0.532449     0.415265     0.327458     0.259970    0.207295    0.165776    0.132841    0.106600    0.085630    0.068837    0.055368    0.044553    0.035863    0.028875    -0.721904    -0.663181    -0.635928    -0.593875    -0.541111    -0.481934    -0.415092    -0.342405    -0.268006   -0.194965   -0.129132   -0.075408   -0.037173  -0.014651  -0.004280 -0.000833 -9.493510e-05 -5.347890e-06 -1.177750e-07 -7.448420e-10 -1.005210e-12 -4.627640e-22 -1.726410e-37 -1.473600e-45
  -354.0         X  2.503100e-36  2.022530e-36  1.634240e-36  1.320490e-36  1.066980e-36     0.704573     0.539854     0.421040     0.332013     0.263587    0.210179    0.168083    0.134689    0.108084    0.086822    0.069795    0.056139    0.045173    0.036362    0.029277    -0.731943    -0.672403    -0.644771    -0.602134    -0.548636    -0.488636    -0.420865    -0.347167    -0.271734   -0.197677   -0.130929   -0.076457   -0.037691  -0.014855  -0.004340 -0.000844 -9.625880e-05 -5.422490e-06 -1.194190e-07 -7.552430e-10 -1.019250e-12 -4.692370e-22 -1.750580e-37 -1.494230e-45
  -352.0         X  2.538280e-36  2.050960e-36  1.657210e-36  1.339050e-36  1.081970e-36     0.714414     0.547395     0.426922     0.336652     0.267270    0.213115    0.170432    0.136572    0.109595    0.088036    0.070771    0.056924    0.045805    0.036871    0.029686    -0.742165    -0.681795    -0.653777    -0.610544    -0.556299    -0.495461    -0.426744    -0.352017    -0.275530   -0.200439   -0.132759   -0.077526   -0.038218  -0.015062  -0.004401 -0.000856 -9.760690e-05 -5.498470e-06 -1.210930e-07 -7.658370e-10 -1.033550e-12 -4.758290e-22 -1.775200e-37 -1.515250e-45
  -350.0         X  2.574120e-36  2.079920e-36  1.680610e-36  1.357950e-36  1.097250e-36     0.724437     0.555075     0.432913     0.341376     0.271021    0.216107    0.172824    0.138489    0.111133    0.089272    0.071765    0.057723    0.046448    0.037388    0.030103    -0.752576    -0.691359    -0.662948    -0.619109    -0.564104    -0.502412    -0.432731    -0.356956    -0.279397   -0.203252   -0.134622   -0.078615   -0.038755  -0.015274  -0.004462 -0.000868 -9.897990e-05 -5.575850e-06 -1.227980e-07 -7.766270e-10 -1.048120e-12 -4.825450e-22 -1.800270e-37 -1.536660e-45
  -348.0         X  2.610630e-36  2.109420e-36  1.704440e-36  1.377210e-36  1.112810e-36     0.734645     0.562897     0.439014     0.346188     0.274841    0.219153    0.175261    0.140442    0.112700    0.090531    0.072777    0.058537    0.047104    0.037916    0.030528    -0.763180    -0.701101    -0.672290    -0.627833    -0.572053    -0.509492    -0.438829    -0.361987    -0.283335   -0.206118   -0.136520   -0.079723   -0.039301  -0.015490  -0.004525 -0.000880 -1.003780e-04 -5.654680e-06 -1.245350e-07 -7.876180e-10 -1.062970e-12 -4.893860e-22 -1.825810e-37 -1.558470e-45
  -346.0         X  2.647820e-36  2.139470e-36  1.728720e-36  1.396830e-36  1.128670e-36     0.745042     0.570865     0.445228     0.351089     0.278733    0.222257    0.177743    0.142431    0.114297    0.091813    0.073808    0.059367    0.047771    0.038453    0.030961    -0.773981    -0.711023    -0.681805    -0.636719    -0.580150    -0.516704    -0.445041    -0.367112    -0.287346   -0.209036   -0.138454   -0.080853   -0.039858  -0.015709  -0.004590 -0.000893 -1.018030e-04 -5.734970e-06 -1.263040e-07 -7.988140e-10 -1.078090e-12 -4.963550e-22 -1.851830e-37 -1.580680e-45
  -344.0         X  2.685710e-36  2.170090e-36  1.753460e-36  1.416830e-36  1.144820e-36     0.755634     0.578981     0.451559     0.356081     0.282697    0.225418    0.180271    0.144457    0.115923    0.093120    0.074858    0.060212    0.048451    0.039000    0.031401    -0.784984    -0.721131    -0.691497    -0.645771    -0.588397    -0.524050    -0.451369    -0.372332    -0.291433   -0.212009   -0.140423   -0.082003   -0.040426  -0.015933  -0.004655 -0.000906 -1.032540e-04 -5.816770e-06 -1.281070e-07 -8.102210e-10 -1.093490e-12 -5.034550e-22 -1.878350e-37 -1.603320e-45
  -342.0         X  2.724320e-36  2.201290e-36  1.778670e-36  1.437200e-36  1.161280e-36     0.766425     0.587250     0.458009     0.361168     0.286735    0.228638    0.182847    0.146521    0.117580    0.094451    0.075928    0.061072    0.049144    0.039558    0.031850    -0.796193    -0.731428    -0.701372    -0.654992    -0.596800    -0.531534    -0.457815    -0.377650    -0.295596   -0.215038   -0.142430   -0.083175   -0.041003  -0.016161  -0.004722 -0.000919 -1.047330e-04 -5.900120e-06 -1.299430e-07 -8.218430e-10 -1.109180e-12 -5.106900e-22 -1.905360e-37 -1.626380e-45
  -340.0         X  2.763670e-36  2.233080e-36  1.804360e-36  1.457950e-36  1.178050e-36     0.777419     0.595674     0.464580     0.366350     0.290850    0.231920    0.185471    0.148625    0.119267    0.095807    0.077019    0.061949    0.049849    0.040126    0.032308    -0.807613    -0.741920    -0.711432    -0.664388    -0.605361    -0.539159    -0.464383    -0.383068    -0.299837   -0.218124   -0.144474   -0.084369   -0.041592  -0.016393  -0.004789 -0.000932 -1.062400e-04 -5.985040e-06 -1.318150e-07 -8.336860e-10 -1.125180e-12 -5.180620e-22 -1.932890e-37 -1.649890e-45
  -338.0         X  2.803770e-36  2.265480e-36  1.830540e-36  1.479110e-36  1.195140e-36     0.788621     0.604258     0.471275     0.371630     0.295043    0.235263    0.188145    0.150768    0.120987    0.097188    0.078129    0.062843    0.050569    0.040705    0.032774    -0.819249    -0.752610    -0.721683    -0.673961    -0.614084    -0.546928    -0.471075    -0.388589    -0.304159   -0.221269   -0.146558   -0.085586   -0.042192  -0.016629  -0.004859 -0.000945 -1.077750e-04 -6.071580e-06 -1.337220e-07 -8.457540e-10 -1.141480e-12 -5.255750e-22 -1.960950e-37 -1.673840e-45
  -336.0         X  2.844630e-36  2.298500e-36  1.857220e-36  1.500660e-36  1.212560e-36     0.800035     0.613005     0.478098     0.377011     0.299315    0.238670    0.190870    0.152952    0.122740    0.098597    0.079261    0.063753    0.051301    0.041295    0.033249    -0.831106    -0.763502    -0.732128    -0.683716    -0.622972    -0.554845    -0.477894    -0.394215    -0.308563   -0.224473   -0.148680   -0.086826   -0.042804  -0.016871  -0.004929 -0.000959 -1.093400e-04 -6.159760e-06 -1.356650e-07 -8.580530e-10 -1.158080e-12 -5.332320e-22 -1.989540e-37 -1.698250e-45
  -334.0         X  2.886290e-36  2.332160e-36  1.884420e-36  1.522640e-36  1.230320e-36     0.811668     0.621919     0.485051     0.382494     0.303669    0.242142    0.193647    0.155177    0.124526    0.100031    0.080415    0.064681    0.052048    0.041896    0.033733    -0.843189    -0.774603    -0.742773    -0.693656    -0.632030    -0.562913    -0.484844    -0.399948    -0.313051   -0.227738   -0.150843   -0.088090   -0.043427  -0.017116  -0.005001 -0.000973 -1.109340e-04 -6.249640e-06 -1.376460e-07 -8.705880e-10 -1.175010e-12 -5.410370e-22 -2.018690e-37 -1.723140e-45
  -332.0         X  2.928750e-36  2.366470e-36  1.912140e-36  1.545040e-36  1.248420e-36     0.823523     0.631003     0.492137     0.388083     0.308106    0.245681    0.196477    0.157445    0.126347    0.101494    0.081591    0.065627    0.052809    0.042509    0.034227    -0.855504    -0.785916    -0.753621    -0.703788    -0.641262    -0.571135    -0.491926    -0.405791    -0.317625   -0.231066   -0.153048   -0.089377   -0.044062  -0.017367  -0.005074 -0.000987 -1.125590e-04 -6.341250e-06 -1.396650e-07 -8.833650e-10 -1.192270e-12 -5.489920e-22 -2.048390e-37 -1.748500e-45
  -330.0         X  2.972030e-36  2.401440e-36  1.940400e-36  1.567870e-36  1.266870e-36     0.835606     0.640263     0.499359     0.393779     0.312629    0.249288    0.199362    0.159757    0.128202    0.102985    0.082789    0.066591    0.053585    0.043134    0.034730    -0.868056    -0.797447    -0.764679    -0.714114    -0.650671    -0.579516    -0.499145    -0.411746    -0.322287   -0.234458   -0.155295   -0.090690   -0.044709  -0.017622  -0.005149 -0.001002 -1.142160e-04 -6.434640e-06 -1.417230e-07 -8.963900e-10 -1.209860e-12 -5.571020e-22 -2.078680e-37 -1.774360e-45
  -328.0         X  3.016170e-36  2.437100e-36  1.969210e-36  1.591160e-36  1.285680e-36     0.847923     0.649701     0.506722     0.399585     0.317239    0.252964    0.202303    0.162114    0.130093    0.104504    0.084011    0.067574    0.054376    0.043770    0.035242    -0.880850    -0.809201    -0.775950    -0.724640    -0.660262    -0.588059    -0.506504    -0.417817    -0.327039   -0.237916   -0.157586   -0.092028   -0.045369  -0.017882  -0.005225 -0.001017 -1.159050e-04 -6.529830e-06 -1.438210e-07 -9.096680e-10 -1.227790e-12 -5.653710e-22 -2.109560e-37 -1.800720e-45
  -326.0         X  3.061160e-36  2.473460e-36  1.998590e-36  1.614900e-36  1.304860e-36     0.860479     0.659323     0.514227     0.405504     0.321939    0.256712    0.205301    0.164516    0.132022    0.106053    0.085256    0.068576    0.055182    0.044419    0.035765    -0.893893    -0.821184    -0.787440    -0.735371    -0.670040    -0.596768    -0.514005    -0.424005    -0.331883   -0.241441   -0.159921   -0.093392   -0.046042  -0.018147  -0.005302 -0.001032 -1.176260e-04 -6.626890e-06 -1.459600e-07 -9.232060e-10 -1.246080e-12 -5.738020e-22 -2.141050e-37 -1.827610e-45
