Name:B X_Dim:150 Y_Dim:150 Conductance:1000.0

### Channel Times ###
      Start      End
0   -1.9505  -1.9495
1   -1.8505  -1.8495
2   -1.7505  -1.7495
3   -1.6505  -1.6495
4   -1.5505  -1.5495
5   -1.4500  -1.4490
6   -1.3505  -1.3495
7   -1.2505  -1.2495
8   -1.1505  -1.1495
9   -1.0505  -1.0495
10  -0.9505  -0.9495
11  -0.8505  -0.8495
12  -0.7505  -0.7495
13  -0.6505  -0.6495
14  -0.5505  -0.5495
15  -0.4505  -0.4495
16  -0.3505  -0.3495
17  -0.2505  -0.2495
18  -0.1505  -0.1495
19  -0.0505  -0.0495
20   0.0250   0.0260
21   0.0545   0.0555
22   0.0695   0.0705
23   0.0945   0.0955
24   0.1295   0.1305
25   0.1745   0.1755
26   0.2345   0.2355
27   0.3145   0.3155
28   0.4195   0.4205
29   0.5595   0.5605
30   0.7445   0.7455
31   0.9895   0.9905
32   1.3145   1.3155
33   1.7445   1.7455
34   2.3145   2.3155
35   3.0745   3.0755
36   4.0845   4.0855
37   5.4245   5.4255
38   7.2045   7.2055
39   9.5695   9.5705
40  12.6595  12.6605
41  22.7295  22.7305
42  39.3945  39.3955
43  48.1145  48.1155

### Data ###
 Station Component          0          1          2          3          4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33          34          35          36          37          38          39         40         41        42        43
  -356.0         X   0.024200   0.024064   0.023928   0.023794   0.023660     5.735780     5.672320     5.610350     5.550090     5.491420     5.434260     5.378530     5.324130     5.271010     5.219080     5.168310     5.118610     5.069950     5.022280     4.975540    -0.787612    -0.781918    -0.779059    -0.774345    -0.767856    -0.759693    -0.749113    -0.735521    -0.718517    -0.697197    -0.671147    -0.639873    -0.603122    -0.561126   -0.514305   -0.463195   -0.409001   -0.352985   -0.296373   -0.240616  -0.188104  -0.093681 -0.034163 -0.020744
  -354.0         X   0.024486   0.024348   0.024211   0.024075   0.023940     5.805320     5.741070     5.678340     5.617330     5.557930     5.500070     5.443640     5.388570     5.334790     5.282230     5.230820     5.180520     5.131260     5.082990     5.035680    -0.797362    -0.791596    -0.788701    -0.783928    -0.777357    -0.769091    -0.758379    -0.744616    -0.727398    -0.705811    -0.679434    -0.647767    -0.610555    -0.568033   -0.520626   -0.468877   -0.414007   -0.357294   -0.299980   -0.243535  -0.190376  -0.094803 -0.034569 -0.020989
  -352.0         X   0.024776   0.024637   0.024498   0.024360   0.024223     5.875970     5.810920     5.747410     5.685640     5.625510     5.566920     5.509800     5.454050     5.399600     5.346380     5.294340     5.243410     5.193540     5.144680     5.096780    -0.807271    -0.801432    -0.798501    -0.793668    -0.787014    -0.778644    -0.767796    -0.753860    -0.736425    -0.714565    -0.687856    -0.655790    -0.618109    -0.575052   -0.527049   -0.474651   -0.419094   -0.361672   -0.303645   -0.246499  -0.192685  -0.095942 -0.034980 -0.021238
  -350.0         X   0.025071   0.024930   0.024790   0.024650   0.024512     5.947750     5.881890     5.817580     5.755040     5.694160     5.634850     5.577010     5.520560     5.465440     5.411560     5.358870     5.307300     5.256810     5.207340     5.158850    -0.817343    -0.811431    -0.808461    -0.803568    -0.796829    -0.788353    -0.777368    -0.763255    -0.745599    -0.723463    -0.696415    -0.663944    -0.625787    -0.582186   -0.533577   -0.480519   -0.424263   -0.366121   -0.307369   -0.249512  -0.195030  -0.097099 -0.035398 -0.021491
  -348.0         X   0.025371   0.025228   0.025086   0.024945   0.024805     6.020690     5.954010     5.888890     5.825560     5.763920     5.703860     5.645300     5.588150     5.532330     5.477780     5.424430     5.372220     5.321100     5.271020     5.221920    -0.827581    -0.821593    -0.818587    -0.813631    -0.806806    -0.798223    -0.787098    -0.772805    -0.754925    -0.732507    -0.705116    -0.672232    -0.633591    -0.589437   -0.540212   -0.486482   -0.429516   -0.370643   -0.311153   -0.252572  -0.197414  -0.098274 -0.035823 -0.021748
  -346.0         X   0.025675   0.025530   0.025387   0.025244   0.025102     6.094800     6.027280     5.961340     5.897220     5.834800     5.773990     5.714690     5.656820     5.600310     5.545070     5.491050     5.438190     5.386430     5.335710     5.286000    -0.837989    -0.831925    -0.828879    -0.823860    -0.816949    -0.808255    -0.796988    -0.782514    -0.764405    -0.741701    -0.713960    -0.680657    -0.641523    -0.596807   -0.546956   -0.492543   -0.434855   -0.375237   -0.314998   -0.255682  -0.199835  -0.099468 -0.036254 -0.022009
  -344.0         X   0.025984   0.025838   0.025692   0.025548   0.025404     6.170120     6.101740     6.034970     5.970040     5.906830     5.845250     5.785210     5.726610     5.669380     5.613450     5.558750     5.505220     5.452810     5.401450     5.351110    -0.848570    -0.842428    -0.839343    -0.834259    -0.827260    -0.818455    -0.807043    -0.792383    -0.774042    -0.751047    -0.722951    -0.689221    -0.649586    -0.604298   -0.553811   -0.498704   -0.440282   -0.379907   -0.318906   -0.258843  -0.202295  -0.100681 -0.036692 -0.022274
  -342.0         X   0.026298   0.026150   0.026003   0.025856   0.025711     6.246660     6.177410     6.109800     6.044040     5.980030     5.917670     5.856870     5.797530     5.739570     5.682930     5.627540     5.573340     5.520260     5.468260     5.417280    -0.859327    -0.853106    -0.849982    -0.844832    -0.837742    -0.828824    -0.817266    -0.802416    -0.783840    -0.760549    -0.732091    -0.697928    -0.657784    -0.611914   -0.560779   -0.504967   -0.445798   -0.384654   -0.322877   -0.262055  -0.204795  -0.101914 -0.037137 -0.022544
  -340.0         X   0.026617   0.026467   0.026318   0.026170   0.026023     6.324450     6.254320     6.185840     6.119250     6.054430     5.991270     5.929690     5.869600     5.810910     5.753550     5.697450     5.642560     5.588810     5.536150     5.484530    -0.870264    -0.863963    -0.860798    -0.855582    -0.848401    -0.839367    -0.827659    -0.812618    -0.793801    -0.770209    -0.741384    -0.706779    -0.666117    -0.619656   -0.567863   -0.511333   -0.451405   -0.389478   -0.326914   -0.265319  -0.207336  -0.103166 -0.037589 -0.022817
  -338.0         X   0.026940   0.026789   0.026638   0.026488   0.026339     6.403510     6.332480     6.263130     6.195690     6.130040     6.066080     6.003710     5.942850     5.883410     5.825320     5.768510     5.712920     5.658480     5.605150     5.552870    -0.881386    -0.875002    -0.871796    -0.866513    -0.859238    -0.850087    -0.838227    -0.822991    -0.803930    -0.780032    -0.750832    -0.715779    -0.674590    -0.627528   -0.575065   -0.517805   -0.457105   -0.394383   -0.331017   -0.268637  -0.209918  -0.104438 -0.038048 -0.023095
  -336.0         X   0.027269   0.027116   0.026963   0.026812   0.026661     6.483870     6.411930     6.341690     6.273380     6.206890     6.142110     6.078940     6.017300     5.957100     5.898260     5.840730     5.784420     5.729290     5.675280     5.622340    -0.892695    -0.886228    -0.882980    -0.877628    -0.870258    -0.860988    -0.848973    -0.833539    -0.814229    -0.790020    -0.760440    -0.724930    -0.683206    -0.635531   -0.582387   -0.524385   -0.462900   -0.399368   -0.335188   -0.272009  -0.212543  -0.105732 -0.038515 -0.023377
  -334.0         X   0.027604   0.027448   0.027294   0.027140   0.026988     6.565560     6.492690     6.421540     6.352350     6.285000     6.219390     6.155410     6.092970     6.032000     5.972410     5.914140     5.857110     5.801270     5.746560     5.692940    -0.904195    -0.897644    -0.894354    -0.888931    -0.881465    -0.872073    -0.859902    -0.844265    -0.824702    -0.800176    -0.770210    -0.734236    -0.691966    -0.643670   -0.589832   -0.531075   -0.468791   -0.404437   -0.339428   -0.275437  -0.215210  -0.107045 -0.038989 -0.023664
  -332.0         X   0.027943   0.027786   0.027630   0.027474   0.027320     6.648600     6.574790     6.502720     6.432630     6.364410     6.297950     6.233140     6.169900     6.108140     6.047780     5.988750     5.930990     5.874430     5.819020     5.764710    -0.915892    -0.909254    -0.905921    -0.900427    -0.892862    -0.883347    -0.871016    -0.855173    -0.835354    -0.810506    -0.780145    -0.743699    -0.700875    -0.651945   -0.597403   -0.537878   -0.474782   -0.409590   -0.343739   -0.278922  -0.217921  -0.108381 -0.039471 -0.023956
  -330.0         X   0.028288   0.028129   0.027971   0.027813   0.027657     6.733020     6.658250     6.585240     6.514250     6.445140     6.377820     6.312170     6.248110     6.185540     6.124400     6.064610     6.006100     5.948810     5.892680     5.837660    -0.927788    -0.921062    -0.917685    -0.912119    -0.904454    -0.894814    -0.882319    -0.866268    -0.846187    -0.821011    -0.790250    -0.753323    -0.709935    -0.660361   -0.605101   -0.544795   -0.480873   -0.414830   -0.348122   -0.282465  -0.220678  -0.109738 -0.039960 -0.024252
  -328.0         X   0.028639   0.028478   0.028317   0.028158   0.028000     6.818850     6.743100     6.669140     6.597220     6.527210     6.459010     6.392510     6.327610     6.264230     6.202300     6.141730     6.082460     6.024420     5.967570     5.911830    -0.939888    -0.933073    -0.929651    -0.924011    -0.916245    -0.906477    -0.893816    -0.877552    -0.857205    -0.831695    -0.800527    -0.763112    -0.719149    -0.668920   -0.612931   -0.551830   -0.487067   -0.420158   -0.352578   -0.286067  -0.223480  -0.111118 -0.040458 -0.024553
  -326.0         X   0.028995   0.028832   0.028670   0.028508   0.028348     6.906120     6.829380     6.754450     6.681580     6.610660     6.541560     6.474190     6.408450     6.344240     6.281490     6.220130     6.160090     6.101300     6.043700     5.987240    -0.952196    -0.945291    -0.941823    -0.936108    -0.928239    -0.918340    -0.905511    -0.889030    -0.868412    -0.842563    -0.810981    -0.773068    -0.728521    -0.677625   -0.620894   -0.558984   -0.493366   -0.425575   -0.357109   -0.289729  -0.226329  -0.112520 -0.040963 -0.024858
  -324.0         X   0.029357   0.029192   0.029028   0.028865   0.028702     6.994850     6.917100     6.841180     6.767360     6.695510     6.625500     6.557240     6.490630     6.425590     6.362020     6.299850     6.239020     6.179460     6.121100     6.063910    -0.964717    -0.957720    -0.954206    -0.948414    -0.940439    -0.930408    -0.917408    -0.900707    -0.879813    -0.853619    -0.821614    -0.783195    -0.738054    -0.686480   -0.628993   -0.566261   -0.499772   -0.431085   -0.361716   -0.293452  -0.229225  -0.113945 -0.041477 -0.025169
  -322.0         X   0.029725   0.029558   0.029392   0.029226   0.029062     7.085080     7.006300     6.929380     6.854590     6.781780     6.710850     6.641690     6.574210     6.508300     6.443900     6.380910     6.319280     6.258930     6.199810     6.141860    -0.977456    -0.970364    -0.966803    -0.960933    -0.952851    -0.942686    -0.929511    -0.912585    -0.891411    -0.864865    -0.832432    -0.793497    -0.747751    -0.695487   -0.637232   -0.573662   -0.506287   -0.436689   -0.366402   -0.297239  -0.232170  -0.115394 -0.041999 -0.025485
  -320.0         X   0.030099   0.029930   0.029761   0.029594   0.029427     7.176840     7.097020     7.019080     6.943290     6.869520     6.797650     6.727570     6.659190     6.592420     6.527160     6.463340     6.400890     6.339750     6.279850     6.221130    -0.990416    -0.983228    -0.979619    -0.973670    -0.965480    -0.955177    -0.941824    -0.924671    -0.903211    -0.876307    -0.843437    -0.803978    -0.757617    -0.704649   -0.645612   -0.581190   -0.512915   -0.442388   -0.371167   -0.301089  -0.235164  -0.116867 -0.042530 -0.025806
  -318.0         X   0.030479   0.030308   0.030137   0.029968   0.029799     7.270160     7.189270     7.110290     7.033490     6.958740     6.885910     6.814910     6.745620     6.677950     6.611830     6.547160     6.483890     6.421930     6.361240     6.301740    -1.003600    -0.996318    -0.992660    -0.986630    -0.978329    -0.967886    -0.954353    -0.936967    -0.915217    -0.887949    -0.854634    -0.814642    -0.767653    -0.713971   -0.654138   -0.588848   -0.519656   -0.448185   -0.376014   -0.305006  -0.238209  -0.118365 -0.043069 -0.026132
  -316.0         X   0.030866   0.030692   0.030519   0.030347   0.030177     7.365070     7.283100     7.203060     7.125240     7.049480     6.975690     6.903730     6.833520     6.764950     6.697940     6.632410     6.568300     6.505510     6.444010     6.383720    -1.017020    -1.009640    -1.005930    -0.999818    -0.991403    -0.980819    -0.967101    -0.949479    -0.927433    -0.899795    -0.866026    -0.825491    -0.777865    -0.723455   -0.662811   -0.596639   -0.526514   -0.454082   -0.380944   -0.308988  -0.241306  -0.119887 -0.043618 -0.026463
  -314.0         X   0.031259   0.031083   0.030908   0.030734   0.030561     7.461610     7.378530     7.297420     7.218550     7.141780     7.066990     6.994070     6.922920     6.853430     6.785520     6.719120     6.654140     6.590520     6.528200     6.467100    -1.030680    -1.023190    -1.019430    -1.013240    -1.004710    -0.993979    -0.980074    -0.962211    -0.939864    -0.911848    -0.877619    -0.836531    -0.788256    -0.733105   -0.671636   -0.604566   -0.533491   -0.460080   -0.385959   -0.313039  -0.244456  -0.121436 -0.044175 -0.026801
  -312.0         X   0.031658   0.031480   0.031302   0.031126   0.030951     7.559800     7.475610     7.393400     7.313460     7.235660     7.159860     7.085960     7.013850     6.943430     6.874610     6.807310     6.741460     6.676990     6.613820     6.551910    -1.044570    -1.036980    -1.033170    -1.026890    -1.018250    -1.007370    -0.993276    -0.975168    -0.952515    -0.924115    -0.889416    -0.847766    -0.798830    -0.742924   -0.680616   -0.612631   -0.540589   -0.466183   -0.391060   -0.317160  -0.247659  -0.123010 -0.044742 -0.027143
